Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/?p=accessions/accession&id=1102,3,3,0:00:00,3,100.00%,100.00%,$0.00 
/?p=accessions/accession&id=1391,3,3,0:00:00,3,100.00%,100.00%,$0.00 
/?p=accessions/accession&id=1395,38,24,0:00:24,23,47.83%,57.89%,$0.00 
/?p=accessions/accession&id=1412,2,1,0:01:00,1,0.00%,50.00%,$0.00 
/?p=accessions/accession&id=1417,2,1,0:00:23,0,0.00%,50.00%,$0.00 
/?p=accessions/accession&id=1484,38,18,0:00:31,18,33.33%,36.84%,$0.00 
/?p=accessions/accession&id=1542,3,3,0:00:19,0,0.00%,0.00%,$0.00 
/?p=accessions/accession&id=1711,7,7,0:00:22,0,0.00%,0.00%,$0.00 
/?p=accessions/accession&id=723,2,2,0:00:36,0,0.00%,0.00%,$0.00 
/?p=collections/classifications,395,274,0:00:16,16,0.00%,3.29%,$0.00 
/?p=collections/classifications&id=28,104,79,0:00:14,8,37.50%,7.69%,$0.00 
/?p=collections/classifications&id=29,55,19,0:02:15,1,0.00%,9.09%,$0.00 
/?p=collections/classifications&id=31,74,63,0:00:20,0,0.00%,2.70%,$0.00 
/?p=collections/classifications&id=33,81,59,0:00:08,0,0.00%,2.47%,$0.00 
/?p=collections/classifications&id=34,48,24,0:00:13,7,71.43%,12.50%,$0.00 
/?p=collections/classifications&id=35,16,15,0:00:06,0,0.00%,0.00%,$0.00 
/?p=collections/classifications&id=36,53,39,0:00:22,2,0.00%,1.89%,$0.00 
/?p=collections/classifications&id=37,14,8,0:00:11,0,0.00%,0.00%,$0.00 
/?p=collections/classifications&id=38,51,43,0:00:12,1,100.00%,3.92%,$0.00 
/?p=collections/classifications&id=39,6,3,0:00:17,0,0.00%,0.00%,$0.00 
/?p=collections/classifications&id=41,5,2,0:01:02,0,0.00%,0.00%,$0.00 
/?p=collections/classifications&id=45,24,14,0:00:10,0,0.00%,0.00%,$0.00 
/?p=collections/classifications&id=46,7,2,0:00:05,0,0.00%,14.29%,$0.00 
/?p=collections/classifications&id=50,17,14,0:00:22,0,0.00%,0.00%,$0.00 
/?p=collections/classifications&id=53,22,12,0:00:07,0,0.00%,4.55%,$0.00 
/?p=collections/classifications&id=55,4,2,0:00:13,1,0.00%,25.00%,$0.00 
/?p=collections/classifications&id=60,17,10,0:00:20,0,0.00%,0.00%,$0.00 
/?p=collections/classifications&id=61,6,4,0:00:04,0,0.00%,0.00%,$0.00 
/?p=collections/collections,20,12,0:00:05,3,0.00%,0.00%,$0.00 
/?p=collections/collections&browse=,3,3,0:01:12,0,0.00%,0.00%,$0.00 
/?p=collections/collections&char=A,2,1,0:00:04,0,0.00%,50.00%,$0.00 
/?p=collections/collections&char=B,3,2,0:00:06,0,0.00%,0.00%,$0.00 
/?p=collections/collections&char=D,2,2,0:00:00,0,0.00%,100.00%,$0.00 
/?p=collections/collections&char=M,3,3,0:00:28,1,100.00%,33.33%,$0.00 
/?p=collections/collections&char=P,2,2,0:00:40,0,0.00%,50.00%,$0.00 
/?p=collections/controlcard&id=101,2,2,0:00:00,1,100.00%,100.00%,$0.00 
/?p=collections/controlcard&id=109,5,5,0:01:13,5,80.00%,80.00%,$0.00 
/?p=collections/controlcard&id=110,2,2,0:00:12,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=113,4,4,0:00:37,4,75.00%,75.00%,$0.00 
/?p=collections/controlcard&id=114,2,2,0:00:41,1,100.00%,50.00%,$0.00 
/?p=collections/controlcard&id=117,3,3,0:00:00,3,100.00%,100.00%,$0.00 
/?p=collections/controlcard&id=119,3,2,0:00:24,1,0.00%,66.67%,$0.00 
/?p=collections/controlcard&id=1375,3,1,0:04:07,1,0.00%,33.33%,$0.00 
/?p=collections/controlcard&id=169,2,2,0:01:02,1,100.00%,50.00%,$0.00 
/?p=collections/controlcard&id=189,2,2,0:00:14,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=212,2,2,0:00:17,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=225,2,2,0:01:32,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=231,9,7,0:00:50,7,57.14%,55.56%,$0.00 
/?p=collections/controlcard&id=2622,8,5,0:02:40,0,0.00%,12.50%,$0.00 
/?p=collections/controlcard&id=2623,2,1,0:01:46,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2625,6,4,0:01:51,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2626,7,4,0:01:46,0,0.00%,14.29%,$0.00 
/?p=collections/controlcard&id=2631,2,1,0:00:12,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2635,6,4,0:00:28,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2648,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=collections/controlcard&id=2653,4,4,0:02:51,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2656,3,3,0:20:12,0,0.00%,33.33%,$0.00 
/?p=collections/controlcard&id=2658,3,2,0:00:15,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2662,2,1,0:00:10,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2670,12,10,0:09:19,4,50.00%,41.67%,$0.00 
/?p=collections/controlcard&id=2683,4,1,0:00:31,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2684,5,2,0:03:25,0,0.00%,20.00%,$0.00 
/?p=collections/controlcard&id=2686,2,1,0:00:42,1,0.00%,50.00%,$0.00 
/?p=collections/controlcard&id=2690,6,2,0:00:05,0,0.00%,33.33%,$0.00 
/?p=collections/controlcard&id=2692,2,1,0:00:33,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2694,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=collections/controlcard&id=2699,5,3,0:01:20,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2701,2,1,0:00:18,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=271,16,11,0:00:10,11,72.73%,56.25%,$0.00 
/?p=collections/controlcard&id=2730,4,1,0:00:21,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2731,7,7,0:02:39,1,100.00%,42.86%,$0.00 
/?p=collections/controlcard&id=2736,2,1,0:02:25,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2738,2,1,0:00:02,0,0.00%,50.00%,$0.00 
/?p=collections/controlcard&id=2743,4,3,0:02:00,1,100.00%,50.00%,$0.00 
/?p=collections/controlcard&id=2744,2,1,0:04:48,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2745,2,1,0:00:18,1,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2748,129,77,0:00:53,4,25.00%,20.16%,$0.00 
/?p=collections/controlcard&id=2754,10,10,0:00:52,7,71.43%,50.00%,$0.00 
/?p=collections/controlcard&id=2755,5,4,0:00:28,3,66.67%,60.00%,$0.00 
