Page,Pageviews,Unique Pageviews,Title,InclusiveDates,Scope,Avg. Time on Page,Entrances,% Exit
/index.php?p=collections/controlcard&id=2809,210,153,Recordings - Oral History,1971-2014,"Approximately 500 recorded interviews with Carleton faculty, alumni, staff and others covering their individual experiences at Carleton.  Formally this program started in 1991 but the collection also contains older recordings of a similar nature back to 1971.
	Online access to these recordings will be opened up on a recording by recording basis as the Archives secures permission from the interviewees.",0:02:30,125,42.38%
/?p=collections/controlcard&id=2889,180,137,Publications (non-serial) and Reports,1856-2014,"Individual publications, reports, or other printed matter either created by Carleton, a Carleton employee, a Carleton alum or directly related to Carleton.",0:02:12,5,26.11%
/index.php?p=collections/controlcard&id=2889,178,130,Publications (non-serial) and Reports,1856-2014,"Individual publications, reports, or other printed matter either created by Carleton, a Carleton employee, a Carleton alum or directly related to Carleton.",0:02:55,5,28.09%
/?p=collections/controlcard&id=2748,129,77,"Maps, drawings and architectural plans",1872-2006,"Maps of the campus as well as architectural drawings, sketches and blueprints for campus buildings.",0:00:53,4,20.16%
/?p=collections/controlcard&id=50,72,62,"Photographic Prints -- General, by Year",1909/10 to present,NULL,0:02:04,4,27.78%
/index.php?p=collections/controlcard&id=50,64,50,"Photographic Prints -- General, by Year",1909/10 to present,NULL,0:03:41,1,10.94%
/index.php?p=collections/controlcard&id=2834,48,33,Topical Files,NULL,"Documents artificially collected on various topics. Grouped into 3 broad categories : General, Buildings and Grounds, Offices and Departments.",0:04:43,1,12.50%
/index.php?p=collections/controlcard&id=2938,40,30,Special Events Department recordings,1953-2013,"Recordings of events at Carleton College including convocation, inaugurations, reunions, ceremonies, alumni meetings, quarterly meetings, trustee meetings, lectures, student presentations and panel discussions.",0:03:20,1,17.50%
/?p=collections/controlcard&id=2809,35,28,Recordings - Oral History,1971-2014,"Approximately 500 recorded interviews with Carleton faculty, alumni, staff and others covering their individual experiences at Carleton.  Formally this program started in 1991 but the collection also contains older recordings of a similar nature back to 1971.
	Online access to these recordings will be opened up on a recording by recording basis as the Archives secures permission from the interviewees.",0:02:56,7,37.14%
/index.php?p=collections/controlcard&id=2626,42,25,"Recordings of speeches, events, reunions and music performances performed by or at Carleton.",1930-2009,NULL,0:01:01,1,7.14%
/index.php?p=collections/controlcard&id=82,29,25,Photographic Prints --  Special (pre-1909/10 and oversized),NULL,The oldest photographs in the Carleton Archives as well as oversized photos from the entire history of the college.,0:02:51,1,10.34%
/?p=accessions/accession&id=1395,38,24,Zoobook Photos class of 2014,2010,"Original and published copies of photographs for Carleton Zoobook.
	Image files of a variety of formats.",0:00:24,23,57.89%
/?p=collections/controlcard&id=82,27,22,Photographic Prints --  Special (pre-1909/10 and oversized),NULL,The oldest photographs in the Carleton Archives as well as oversized photos from the entire history of the college.,0:02:03,0,22.22%
/index.php?p=collections/controlcard&id=2748,28,22,"Maps, drawings and architectural plans",1872-2006,"Maps of the campus as well as architectural drawings, sketches and blueprints for campus buildings.",0:04:41,0,35.71%
/index.php?p=collections/controlcard&id=2827&q=transcript,26,20,Student Transcripts,1867-,"Original transcripts of students attending Carleton College, its related preparatory department/academy, the music program/conservatory program, academic prizes and awards granted to students.",0:05:16,0,61.54%
/index.php?p=collections/controlcard&id=2827&q=transcripts,28,20,Student Transcripts,1867-,"Original transcripts of students attending Carleton College, its related preparatory department/academy, the music program/conservatory program, academic prizes and awards granted to students.",0:03:49,0,28.57%
/?p=accessions/accession&id=1484,38,18,"Student portraits, Zoo Book.",2012,Photographic print portraits.  Include photos from the class of 2016.,0:00:31,18,36.84%
/index.php?p=collections/controlcard&id=101&q=carletonian,25,18,"Carletonian, The",1877-,"[i]The Carletonian[/i] is Carleton's weekly student-run newspaper. The Carletonian is one of the country's oldest student-run publications, with the first issue appearing in 1877.
	From 6/1/1881-11/3/1921 the newspaper was titled [i]The Carletonia.  [/i]
	From 01/18/1977-09/13/20177 the newspaper was titled The Carleton Daily.",0:06:25,0,28.00%
/index.php?p=collections/controlcard&id=2670,25,18,Carleton scrapbooks and photo albums,1879 - 1988,"Individual and organizational scrapbooks, containing mostly clippings, but also photos, programs, booklets, drawings, invitations, records, correspondence, postcards, dance cards, receipts, and memorabilia.  Topics include athletics, oratory, literary societies, drama, musical groups, graduation and awards, dances and entertainment, clubs, religious activities, professors.  Scrapbooks of organizations are listed in the contents lists for that organization's record group, if any.  For some organizations, the only organized material in the archives is the scrapbook listed here.",0:03:14,1,28.00%
/?p=collections/controlcard&id=2938,18,15,Special Events Department recordings,1953-2013,"Recordings of events at Carleton College including convocation, inaugurations, reunions, ceremonies, alumni meetings, quarterly meetings, trustee meetings, lectures, student presentations and panel discussions.",0:05:00,1,55.56%
/index.php?p=collections/controlcard&id=2766,17,15,Objects / Artifacts,1912-2011,"Various artifacts and memorabilia related to Carleton college's students, faculty, staff and organizations.
	Much of this collection is unprocessed.  Please contact the Archives for more information or see the associated list of unprocessed materials associated with this collection.",0:07:05,0,17.65%
/?p=collections/controlcard&id=2834,17,14,Topical Files,NULL,"Documents artificially collected on various topics. Grouped into 3 broad categories : General, Buildings and Grounds, Offices and Departments.",0:05:14,0,29.41%
/index.php?p=collections/controlcard&id=118&q=zoobook,18,14,New Student 'Zoo Books',1955-,"Annual fall publication, 1955 to the present, of names, photographs and hometown information of Carleton College's incoming class of new students.
	A fully searchable online verison of this publication is available to current faculty, staff and alumni at the link below.
	Also spelled 'Zoobook.'",0:02:20,0,38.89%
/index.php?p=collections/controlcard&id=2622,19,14,"Recordings, phonographs records",NULL,"Audio recordings of speeches, music and broadcasts by or at Carleton",0:04:53,2,21.05%
/index.php?p=collections/controlcard&id=2658,18,14,Board of Trustees' Records,1866-2011,"The collection consists of correspondence, minutes, meeting documents and reports of the Board of Trustees and biographies of its members, 1866 to 1981.  Functions of the Board (as stated in Board Resolution of October 23, 1959) include:  final response for acquisition and management of the College's funds and properties; approval of the major programs and policies of the College; electing members of the Board of Trustees; overseeing the quality and kind of education offered by the College.  The collection is arranged into eight series:  Governing Documents; Biographies and Membership Lists; Correspondence; Minutes; Meeting Documents; Committees; Reports; Miscellaneous.
	Additional descriptions:
	The record group consists of correspondence, minutes, meeting documents and reports of the Board of Trustees and biographies of its members, 1866 to 1981. Functions of the Board (as stated in Board Resolution of October 23, 1959) include: final response for acquisition and management of the College's funds and properties; approval of the major programs and policies of the College; electing members of the Board of Trustees; overseeing the quality and kind of education offered by the College.
	The collectionis arranged into eight series: Governing Documents; Biographies and Membership Lists; Correspondence; Minutes; Meeting Documents; Committees; Reports; Miscellaneous. The Governing Documents series is quite thin, and consists of documents concerning the articles of incorporation and the responsibilities of the Board. Biographical sketches of Board members and membership lists (some with photos) comprise the Biographies and Membership Lists series. The correspondence series is large and arranged alphabetically by Trustee. These are letters the Trustees exchanged with the President, Vice President and other College Officials.
	The Minutes series contains minutes of the Board of Trustees, the Executive Committee, and three other committees of the Board. The majority of minutes from 1866-1945 are in bound volumes and are filed separately. The Meeting Documents series is composed of agendas, discussion papers, committee reports, background papers, financial reports, and miscellaneous documents prepared and distributed for meetings of the Board of Trustees. The bulk of the material in this series was collected by the Central Records office of the College and their previous provenance is unknown.
	The Committees series includes membership lists, reports and correspondence, and scattered minutes. This is a highly artificial series, composed of documents collected by several different offices of the College; the provenance of a folder is noted in parenthesis after the folder title (\DOC\"" = Dean of the College; \""VP\"" = Vice President; \""VP/Dev\"" = Vice President or Development Office; \""Pres\"" = President; \""CR\"" = Central Records office). Reports both to the Board and from the Board comprise the Reports series. The Miscellaneous series includes general correspondence",0:03:10,0,5.56%
/index.php?p=collections/controlcard&id=2922,28,14,Students,1946-1975,"Records from the Development Office of Carleton student information and organizations. Example organizations include:
	-Departmental and Honor, such as Mortar Board
	-Special Interest and Music, such as MPIRG and Carleton Knights
	-Publications and Communications, such as KARL Radio
	-Sports, such as Rugby and Ski Club
	-Student Government, such as CSA",0:02:58,0,10.71%
