# ----------------------------------------
"# Carleton College Archives, filtered"
# Search Terms
# 20150620-20160620
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
arboretum,40,6.12,55.00%,6.12%,00:05:24,2.88
promotional,27,1.81,70.37%,16.33%,00:03:30,0.56
may fete,20,6.70,45.00%,5.22%,00:12:02,4.65
schiller,19,6.68,31.58%,9.45%,00:07:19,3.68
baseball,17,4.59,76.47%,5.13%,00:05:07,1.12
chapel,13,9.00,38.46%,3.42%,00:03:41,5.85
football,13,36.38,30.77%,2.96%,00:17:31,16.31
library,13,11.85,15.38%,6.49%,00:12:34,8.69
20131219_ChoirScans/data/originals/images,12,12.67,41.67%,0.00%,00:16:00,9.00
clap,10,2.10,40.00%,23.81%,00:00:39,0.20
ele hansen,10,3.00,10.00%,36.67%,00:05:14,2.50
homecoming,10,6.40,50.00%,6.25%,00:05:25,2.40
lyman lakes,10,3.70,50.00%,5.41%,00:03:22,2.60
mai fete,10,4.00,40.00%,22.50%,00:03:26,0.80
new student week,10,2.30,40.00%,17.39%,00:04:58,1.00
softball,10,4.10,40.00%,9.76%,00:06:59,1.40
csa,9,1.89,55.56%,29.41%,00:05:15,0.11
goodhue,9,3.22,22.22%,13.79%,00:06:19,3.44
goodsell,9,3.44,22.22%,19.35%,00:05:23,1.67
robert e. will,9,4.56,66.67%,4.88%,00:10:01,2.00
rotblatt,9,2.56,44.44%,26.09%,00:03:14,1.56
women's tennis,9,2.33,11.11%,19.05%,00:09:07,1.89
bridge,8,5.88,37.50%,14.89%,00:10:03,4.75
carletonian,8,2.50,50.00%,25.00%,00:01:45,2.25
comps,8,3.50,62.50%,14.29%,00:01:15,1.12
computer,8,4.38,12.50%,17.14%,00:05:03,4.38
course catalog,8,2.88,87.50%,4.35%,00:01:16,1.38
farm,8,5.25,25.00%,9.52%,00:07:12,2.50
musser,8,6.62,37.50%,9.43%,00:09:51,7.38
nordic,8,2.75,12.50%,4.55%,00:01:10,1.50
pat lamb,8,3.75,25.00%,30.00%,00:21:21,3.00
basketball,7,6.43,42.86%,11.11%,00:04:48,4.71
carleton in china,7,2.29,85.71%,6.25%,00:00:33,0.00
catalog,7,4.43,57.14%,12.90%,00:09:02,1.71
gould library,7,2.29,14.29%,37.50%,00:00:46,0.29
gridley,7,3.86,14.29%,22.22%,00:01:54,2.86
john nason,7,3.43,42.86%,16.67%,00:17:30,10.14
nutting,7,1.14,71.43%,12.50%,00:00:21,0.57
oral history,7,4.29,14.29%,10.00%,00:07:16,1.29
play,7,13.00,14.29%,8.79%,00:16:40,14.43
publications,7,3.00,0.00%,9.52%,00:07:30,6.29
scoville,7,2.57,14.29%,16.67%,00:01:46,2.00
theater,7,7.00,28.57%,10.20%,00:15:58,6.29
veblen,7,2.00,42.86%,14.29%,00:03:21,1.14
Wellstone,7,1.00,85.71%,0.00%,00:00:33,0.43
willis hall,7,4.57,42.86%,9.38%,00:01:10,2.57
women's basketball,7,8.29,57.14%,8.62%,00:03:35,6.14
2014-07-15,6,2.67,16.67%,37.50%,00:11:33,0.00
2015-07-15,6,2.50,33.33%,33.33%,00:04:38,0.17
algol,6,3.00,33.33%,16.67%,00:08:06,3.83
arb,6,2.50,0.00%,33.33%,00:03:35,5.67
athletics,6,2.00,16.67%,66.67%,00:07:43,1.50
bonfire,6,2.67,33.33%,18.75%,00:02:28,3.33
Chapel,6,8.50,0.00%,7.84%,00:06:26,5.67
cowling,6,4.00,16.67%,29.17%,00:06:27,1.83
fete poster,6,3.17,0.00%,21.05%,00:01:37,3.50
laird stadium,6,4.00,0.00%,12.50%,00:04:16,3.33
oral histories,6,2.00,66.67%,8.33%,00:05:56,0.67
pranks,6,6.33,33.33%,10.53%,00:07:52,1.17
residential life,6,3.67,33.33%,22.73%,00:02:18,0.17
scrapbook,6,2.83,16.67%,41.18%,00:08:41,0.83
study,6,7.33,16.67%,9.09%,00:04:22,4.00
swimming,6,6.67,50.00%,7.50%,00:07:23,7.67
video,6,5.83,33.33%,14.29%,00:08:31,1.00
women softball,6,2.33,0.00%,42.86%,00:01:56,0.67
zoobook,6,2.67,33.33%,25.00%,00:02:06,1.17
art,5,4.40,20.00%,18.18%,00:04:19,0.80
cross country,5,5.80,40.00%,13.79%,00:06:49,2.20
earl neil,5,5.20,40.00%,15.38%,00:10:04,1.80
fest,5,2.00,20.00%,50.00%,00:01:10,1.80
field day,5,2.80,20.00%,28.57%,00:04:56,2.40
gould,5,4.60,0.00%,26.09%,00:02:26,2.40
irony sade,5,3.00,60.00%,6.67%,00:02:11,0.20
ITS,5,3.80,60.00%,15.79%,00:05:01,0.60
lyman b. sperry,5,1.80,80.00%,0.00%,00:00:42,1.80
nason,5,4.00,40.00%,15.00%,00:01:25,0.40
nourse,5,3.00,20.00%,26.67%,00:00:58,0.40
penguin,5,2.00,20.00%,40.00%,00:01:35,0.80
robert will,5,2.80,40.00%,14.29%,00:07:36,0.40
strike,5,4.00,20.00%,15.00%,00:02:06,5.20
track,5,6.60,20.00%,9.09%,00:02:43,3.00
volleyball,5,8.00,40.00%,0.00%,00:09:03,4.00
wayne carver,5,3.40,20.00%,23.53%,00:04:35,1.20
west gym,5,3.60,40.00%,11.11%,00:03:44,0.60
williams,5,4.40,20.00%,13.64%,00:02:07,2.80
women basketbal,5,3.00,60.00%,6.67%,00:00:23,2.00
1988-11-11,4,5.75,25.00%,21.74%,00:02:07,0.00
1989-02-01,4,1.00,0.00%,100.00%,00:00:37,0.25
2001,4,6.50,25.00%,26.92%,00:12:50,4.75
2003-06-09,4,2.00,0.00%,37.50%,00:03:08,0.75
2011-12-21,4,2.75,25.00%,45.45%,00:13:43,0.75
20131219_ChoirScans/data/originals/posters,4,2.00,25.00%,37.50%,00:00:40,0.25
bell field,4,6.25,0.00%,24.00%,00:08:49,7.25
campus map,4,3.50,25.00%,14.29%,00:01:03,0.75
commencement,4,16.75,25.00%,0.00%,00:11:34,13.75
deane barbour,4,1.00,100.00%,0.00%,00:00:00,0.00
druids,4,2.50,0.00%,20.00%,00:07:05,1.25
faculty club,4,2.75,100.00%,0.00%,00:00:24,0.00
frisbee,4,3.50,0.00%,14.29%,00:03:52,3.25
gym,4,12.25,0.00%,6.12%,00:41:39,9.75
horse,4,2.75,25.00%,18.18%,00:01:10,1.75
isabella watson,4,5.25,0.00%,9.52%,00:06:34,9.25
jarchow,4,3.75,0.00%,33.33%,00:15:16,1.50
john schott,4,1.50,75.00%,0.00%,00:00:05,0.25
knights,4,2.50,25.00%,40.00%,00:02:53,0.75
little nourse,4,5.50,0.00%,9.09%,00:09:11,3.50
lonnes,4,4.50,50.00%,0.00%,00:24:57,3.50
map,4,2.75,25.00%,27.27%,00:05:01,1.25
miscellany,4,4.50,25.00%,16.67%,00:06:38,2.25
music,4,4.50,25.00%,11.11%,00:02:08,1.25
musser hall,4,4.50,25.00%,16.67%,00:01:41,1.25
Nordic,4,1.50,0.00%,16.67%,00:01:30,1.50
oscar,4,2.75,0.00%,45.45%,00:00:27,0.50
plays,4,4.75,0.00%,21.05%,00:01:28,3.00
