Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
Interpretive Dance,1,1,0.00%,100.00%,0:00:03,0
Senior Convocation John Nason,2,1,0.00%,100.00%,0:00:08,0
Soan,1,1,0.00%,100.00%,0:03:36,0
Golden Radiator,2,2,0.00%,25.00%,0:04:48,1
Stephen Harris,1,1,0.00%,100.00%,0:27:56,0
Dayton Hudson,1,1,100.00%,0.00%,0:00:00,0
Carleton Ways And Byways,1,1,0.00%,100.00%,0:00:09,0
"Rudolph ""Rudi"" Jon Sabo",1,1,0.00%,100.00%,0:00:15,0
Stowe,1,1,0.00%,100.00%,0:15:24,0
Dining,8,2.37,12.50%,38.88%,0:13:13,6.13
Messenger,1,4,100.00%,0.00%,0:00:36,0
Omnipresent,1,1,100.00%,0.00%,0:00:00,0
Kurt Brown,3,1.33,33.33%,50.00%,0:00:10,0
Burgess,1,1,0.00%,100.00%,0:14:37,0
Edith Griffith,1,1,0.00%,100.00%,0:11:16,0
Gender Dorms,1,1,0.00%,100.00%,0:00:21,0
Leaf,1,2,0.00%,50.00%,0:04:07,1
Navigating The Nineties,5,1.0,80.0%,20.0%,00:00:00,0.0
Dixon Bond,3,2,100.00%,0.00%,0:01:32,0.67
Terroris,1,1,0.00%,100.00%,0:00:24,0
Umbrella,1,6,0.00%,50.00%,0:01:39,2
Baseball Statistics,1,2,0.00%,50.00%,0:06:07,1
Financial Aid Future,1,1,0.00%,100.00%,0:01:00,0
Horse Show,1,6,0.00%,16.67%,0:01:18,1
Watch,1,4,0.00%,25.00%,0:01:09,2
Casey,1,1,100.00%,0.00%,0:00:00,0
Tim Penny,2,1,0.00%,100.00%,0:03:36,1
The Birds Paas,1,1,0.00%,100.00%,0:00:06,0
Carleton Hall Of Fame,1,1,100.00%,0.00%,0:00:00,0
Additionally,4,6.75,50.00%,5.77%,0:51:49,4.5
Class Collaboration,1,1,0.00%,100.00%,0:01:01,0
Lenny Dee,3,5.0,0.0%,28.7%,00:10:39,2.0
Musser Floor Plan,1,1,0.00%,100.00%,0:00:09,0
Evans Room,2,1,0.00%,50.00%,0:00:11,0.5
Shoot,1,3,0.00%,33.33%,0:00:45,1
Service Trip Gulf,1,1,0.00%,100.00%,0:00:18,0
Fossil,1,1,0.00%,0.00%,0:19:15,3
Sallmon Portrait,1,2,0.00%,50.00%,0:08:09,1
Group Photos,1,1,0.00%,100.00%,0:00:24,0
New Observatory,1,2,0.00%,50.00%,0:00:12,0
Carleton College 1940,3,1,33.33%,66.67%,0:00:06,0
Winsl,1,1,0.00%,100.00%,0:00:11,0
Patch,1,2,0.00%,50.00%,0:06:11,1
Mudd,3,3,0.00%,33.33%,0:07:35,1.33
Mcbride,1,1,0.00%,100.00%,0:23:00,0
Military,1,1,0.00%,100.00%,0:00:44,0
Women's Cross Country,4,5.25,75.00%,0.00%,0:03:04,3
Seismic,3,1,0.00%,100.00%,0:01:41,0
Jeremy Harrell,1,2,100.00%,0.00%,0:00:13,0
Reunion Class Portrait,3,1.67,33.33%,16.67%,0:01:14,1.33
Thomas,1,1,100.00%,0.00%,0:00:00,0
Ljung,1,1,0.00%,100.00%,0:12:26,0
The Clap,8,2.37,25.00%,47.05%,0:01:36,0.13
Reference,1,16,0.00%,6.25%,0:12:46,13
Templeton,2,1.5,0.00%,75.00%,0:08:14,0
Midwest League,1,2,100.00%,0.00%,0:00:14,0
John W Nason,14,4,21.43%,41.19%,0:17:31,5.72
Premier,3,1,0.00%,33.33%,0:01:10,5.33
Pitts,1,1,0.00%,100.00%,0:00:14,0
Cartoon,1,1,0.00%,100.00%,0:01:15,0
Willis Williams,12,3.75,16.67%,23.89%,00:04:08,2.42
Harry Tate,3,2.67,33.33%,25.00%,0:00:33,0
Olympics,1,2,0.00%,50.00%,0:04:11,0
Tug,1,4,0.00%,25.00%,0:01:59,3
Ulmer,1,1,0.00%,100.00%,0:02:47,2
Sermon,2,1.5,0.00%,66.67%,0:01:14,0
Bicyc,3,7.33,0.00%,22.73%,0:16:07,9.67
Bolivia,1,1,100.00%,0.00%,0:00:00,0
Robyn Hendrix,1,1,0.00%,100.00%,0:00:30,0
Taps,1,1,100.00%,0.00%,0:00:00,0
Raiders,1,1,100.00%,0.00%,0:00:00,0
Acapella,2,1,0.00%,100.00%,0:00:14,0
Faculty Affairs Martha,1,1,0.00%,100.00%,0:00:08,0
Oiil,3,3.33,0.0%,33.33%,00:02:22,0.33
Thomas Spicer,1,1,0.00%,100.00%,0:00:09,0
Alpha Beta,1,1,0.00%,100.00%,0:01:32,1
Hockey,1,4,0.00%,0.00%,0:00:29,2
Alan Sancho Cochran-Bond,1,2,0.00%,50.00%,0:00:56,0
Celebrating Chapters,2,3.0,0.0%,50.0%,00:06:12,0.0
Biology Comps,1,2,100.00%,0.00%,0:00:46,3
Video Call,1,2,0.00%,50.00%,0:04:46,0
Ywca,2,2.5,0.00%,60.00%,0:02:09,1.5
"Today, 1960",1,1,0.00%,100.00%,0:00:11,0
Annual Report,32,2.72,37.51%,24.62%,00:07:47,1.03
Food Service Survey,3,2,0.00%,83.33%,0:07:34,0
Library Demas,1,3,0.00%,0.00%,0:09:11,5
Strictly Personal,1,1,0.00%,100.00%,0:01:49,0
Charles M. Thompson,2,1,0.00%,100.00%,0:01:29,0
Severance Hall,2,5.5,0.00%,22.91%,0:03:16,5.5
Poor Dad,2,1.5,0.00%,66.67%,0:20:38,0.5
Verbrug,1,1,0.00%,100.00%,0:01:59,4
Poor Day,2,1.5,0.00%,66.67%,0:05:44,0.5
Lucas Lecture,1,2,0.00%,50.00%,0:18:43,1
Poskanzer Tree Planting,1,1,0.00%,100.00%,0:01:51,1
Rockef,1,1,0.00%,100.00%,0:00:12,0
Security Log Books,2,2,0.00%,75.00%,0:00:29,0
Black A],1,1,0.00%,100.00%,0:00:05,0
Chaplain,5,2.2,20.00%,52.38%,0:00:57,0.4
Flood Canon River,1,1,100.00%,0.00%,0:00:00,0
Olin Auditorium,1,2,0.00%,100.00%,0:00:35,3
Dave Mcallum,2,1.0,0.0%,100.0%,00:00:29,0.0
Carleton The First Century,7,1.14,14.28%,85.72%,00:05:56,0.43
Budget,2,1.5,0.00%,100.00%,0:01:10,0.5
Winter Dance,2,1.5,0.00%,66.67%,0:00:19,0.5
Nourse Little Theater,7,1.86,28.57%,45.71%,0:09:02,0.86
Steve Lewis Judith,2,1.0,50.0%,50.0%,00:00:05,0.0
Nielson,1,3,100.00%,0.00%,0:00:08,0
Ted Mullin,1,1,0.00%,100.00%,0:00:18,0
Higgin,1,1,0.00%,100.00%,0:00:09,0
