Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
Arboretum,106,4.67,33.02%,16.09%,0:07:23,2.61
Mai Fete,54,5.96,35.19%,12.20%,0:08:07,3.11
Carletonian,53,3.94,39.64%,22.11%,0:05:22,1.22
Publications,50,2.04,4.00%,12.46%,0:05:01,4.28
Commencement ----,37,3.83,21.62%,40.49%,0:07:38,3.65
Schiller,37,4.78,21.63%,17.38%,0:07:26,2.92
Library,35,7.34,20.00%,13.11%,0:08:10,4.4
Gridley,35,5.12,20.00%,18.28%,0:07:24,3.71
Maps,35,2.34,40.00%,27.18%,0:05:50,0.77
Sports Photos,33,2.42,36.36%,24.56%,0:12:42,2.3
Annual Report,32,2.72,37.51%,24.62%,0:07:47,1.03
Clap,31,2.13,32.26%,34.18%,0:01:28,0.06
Rockefeller,30,1.94,53.33%,29.23%,0:06:05,0.73
Csa,30,2.86,43.34%,26.99%,0:05:40,0.57
Chapel,29,7.31,17.24%,7.64%,0:06:19,5.46
Ele Hansen,29,2.52,3.45%,57.57%,0:03:40,1.38
Men's Basketball,28,4.6,25.00%,24.83%,0:05:14,4.1
Baseball,28,5.21,53.57%,9.59%,0:10:22,2.32
Oral History ----,28,2.6,32.14%,25.63%,0:04:48,0.86
Football ----,27,18.37,18.52%,22.51%,0:09:52,8.19
Women's Basketball,27,4.63,37.03%,24.65%,0:03:48,2.41
Reunion ----,27,4.85,7.41%,69.85%,0:08:28,1.85
Promotional,27,1.81,70.37%,16.33%,0:03:30,0.56
Goodsell,26,4.16,19.23%,22.19%,0:08:25,3.65
Transcript,26,2.31,65.38%,12.69%,0:03:09,1.85
Rotblatt,26,3.42,34.62%,31.78%,0:05:28,1.42
Class Of ----,25,1.52,20.00%,65.33%,0:01:50,0.32
Wellstone,24,2,41.67%,31.27%,0:05:31,3.25
Scoville,24,5.17,20.83%,13.43%,0:04:50,2.96
Algol ----,24,2.21,50.00%,26.05%,0:03:52,1.58
Carleton In China,22,2.41,36.37%,24.23%,0:03:31,0.59
Farm,21,4.05,14.29%,23.69%,0:07:12,2.14
Computer,20,3.75,10.00%,27.42%,0:12:48,4.95
Goodhue,20,3.1,10.00%,20.97%,0:06:08,2.7
Druids,20,3.1,20.00%,26.93%,0:04:54,1.75
Margaret Evans,20,2.35,30.00%,26.34%,0:03:37,1.65
Scrapbooks,20,2.1,35.00%,34.69%,0:04:09,0.25
