Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth,Alternate Spellings
Arboretum,41,6.04,56.10%,5.97%,0:05:22,2.81,1
Promotional,27,1.81,70.37%,16.33%,0:03:30,0.56,0
May Fete,22,7.91,50.00%,4.75%,0:11:58,4.95,1
Schiller,20,6.45,30.00%,8.98%,0:06:57,3.55,1
Chapel,19,8.84,26.31%,4.82%,0:04:33,5.79,1
Baseball,17,4.59,76.47%,5.13%,0:05:07,1.12,0
Football,14,33.85,28.57%,9.89%,0:16:19,15.14,1
Mai Fete,14,4.43,42.86%,18.76%,0:02:55,1.43,2
Library,13,11.85,15.38%,6.49%,0:12:34,8.69,0
Rotblatt,13,4.31,53.84%,19.93%,0:02:41,1.39,1
Clap,12,2.08,41.67%,24.01%,0:00:38,0.17,1
Lyman Lakes,12,3.25,41.67%,12.84%,0:02:50,2.33,1
Nordic,12,2.33,8.33%,8.59%,0:01:16,1.5,1
Veblen,11,2.09,63.64%,9.09%,0:02:18,0.73,1
Ele Hansen,10,3,10.00%,36.67%,0:05:14,2.5,0
Goodsell,10,3.2,20.00%,27.41%,0:05:04,1.5,1
Homecoming,10,6.4,50.00%,6.25%,0:05:25,2.4,0
New Student Week,10,2.3,40.00%,17.39%,0:04:58,1,0
Residential Life,10,5.8,30.00%,17.64%,0:03:34,0.3,3
Softball,10,4.1,40.00%,9.76%,0:06:59,1.4,0
Women's Tennis,10,2.7,10.00%,18.81%,0:08:30,2,1
Carletonian,9,2.44,55.56%,22.22%,0:01:34,2,1
Comps,9,3.22,66.67%,12.70%,0:01:06,1,1
Csa,9,1.89,55.56%,29.41%,0:05:15,0.11,0
Goodhue,9,3.22,22.22%,13.79%,0:06:19,3.44,0
Robert E. Will,9,4.56,66.67%,4.88%,0:10:01,2,0
Theater,9,7.56,22.22%,9.10%,0:13:30,6.89,1
Bridge,8,5.88,37.50%,14.89%,0:10:03,4.75,0
Computer,8,4.38,12.50%,17.14%,0:05:03,4.38,0
Course Catalog,8,2.88,87.50%,4.35%,0:01:16,1.38,0
Cowling,8,3.38,12.50%,38.55%,0:05:01,1.37,1
Farm,8,5.25,25.00%,9.52%,0:07:12,2.5,0
Gridley,8,6.88,12.50%,19.44%,0:03:26,3.63,1
Musser,8,6.62,37.50%,9.43%,0:09:51,7.38,0
Pat Lamb,8,3.75,25.00%,30.00%,0:21:21,3,0
Scoville,8,4.12,25.00%,15.42%,0:02:23,3.13,1
Wellstone,8,1.25,75.00%,0.00%,0:00:34,0.63,1
Willis Hall,8,4.12,50.00%,8.21%,0:01:01,2.25,1
Algol,7,3,42.85%,19.05%,0:07:08,4.14,1
Basketball,7,6.43,42.86%,11.11%,0:04:48,4.71,0
Carleton In China,7,2.29,85.71%,6.25%,0:00:33,0,0
Catalog,7,4.43,57.14%,12.90%,0:09:02,1.71,0
Gould Library,7,2.29,14.29%,37.50%,0:00:46,0.29,0
John Nason,7,3.43,42.86%,16.67%,0:17:30,10.14,0
Nason,7,4.29,42.86%,13.57%,0:02:22,1.14,1
Nutting,7,1.14,71.43%,12.50%,0:00:21,0.57,0
Oral History,7,4.29,14.29%,10.00%,0:07:16,1.29,0
Play,7,13,14.29%,8.79%,0:16:40,14.43,0
Pranks,7,6,42.85%,12.60%,0:06:48,1,1
Publications,7,3,0.00%,9.52%,0:07:30,6.29,0
Women's Basketball,7,8.29,57.14%,8.62%,0:03:35,6.14,0
Zoobook,7,2.57,42.85%,21.43%,0:01:48,1,1
Arb,6,2.5,0.00%,33.33%,0:03:35,5.67,0
Athletics,6,2,16.67%,66.67%,0:07:43,1.5,0
Bonfire,6,2.67,33.33%,18.75%,0:02:28,3.33,0
Fete Poster,6,3.17,0.00%,21.05%,0:01:37,3.5,0
Gould,6,4.5,0.00%,21.74%,0:02:22,2.5,1
Laird Stadium,6,4,0.00%,12.50%,0:04:16,3.33,0
Oral Histories,6,2,66.67%,8.33%,0:05:56,0.67,0
Scrapbook,6,2.83,16.67%,41.18%,0:08:41,0.83,0
Study,6,7.33,16.67%,9.09%,0:04:22,4,0
Swimming,6,6.67,50.00%,7.50%,0:07:23,7.67,0
Video,6,5.83,33.33%,14.29%,0:08:31,1,0
Volleyball,6,6.83,33.33%,16.67%,0:07:35,3.33,1
Wayne Carver,6,3,16.67%,36.27%,0:06:21,1,1
Williams,6,3.83,16.67%,28.03%,0:01:46,2.33,1
Willis,6,3.33,0.00%,20.20%,0:04:44,3.5,1
Women Softball,6,2.33,0.00%,42.86%,0:01:56,0.67,0
Art,5,4.4,20.00%,18.18%,0:04:19,0.8,0
Cross Country,5,5.8,40.00%,13.79%,0:06:49,2.2,0
Earl Neil,5,5.2,40.00%,15.38%,0:10:04,1.8,0
Evans Hall,5,6.6,80.00%,4.00%,0:05:16,5,1
Fest,5,2,20.00%,50.00%,0:01:10,1.8,0
Field Day,5,2.8,20.00%,28.57%,0:04:56,2.4,0
Frisbee,5,3.6,0.00%,16.43%,0:03:27,2.8,1
Irony Sade,5,3,60.00%,6.67%,0:02:11,0.2,0
Isabella Watson,5,5,20.00%,7.62%,0:05:26,7.6,1
Its,5,3.8,60.00%,15.79%,0:05:01,0.6,0
Ltc,5,1.8,60.00%,40.00%,0:01:16,0.2,2
Lyman B. Sperry,5,1.8,80.00%,0.00%,0:00:42,1.8,0
Map,5,3.2,20.00%,33.82%,0:04:29,1.2,1
Nourse,5,3,20.00%,26.67%,0:00:58,0.4,0
Opening Convocation,5,1.8,20.00%,57.14%,0:05:33,0,1
Oscar,5,2.4,0.00%,56.36%,0:00:25,0.4,1
Penguin,5,2,20.00%,40.00%,0:01:35,0.8,0
Robert Will,5,2.8,40.00%,14.29%,0:07:36,0.4,0
Skinner,5,2.4,80.00%,5.00%,0:00:20,0.4,1
Strike,5,4,20.00%,15.00%,0:02:06,5.2,0
Track,5,6.6,20.00%,9.09%,0:02:43,3,0
West Gym,5,3.6,40.00%,11.11%,0:03:44,0.6,0
Women Basketbal,5,3,60.00%,6.67%,0:00:23,2,0
Bell Field,4,6.25,0.00%,24.00%,0:08:49,7.25,0
Campus Map,4,3.5,25.00%,14.29%,0:01:03,0.75,0
Canoe,4,3.25,0.00%,39.77%,0:08:03,0.75,1
Canoe House,4,2.75,25.00%,36.46%,0:01:34,0.25,1
Commencement,4,16.75,25.00%,0.00%,0:11:34,13.75,0
Deane Barbour,4,1,100.00%,0.00%,0:00:00,0,0
Druids,4,2.5,0.00%,20.00%,0:07:05,1.25,0
Etb,4,6.25,0.00%,16.03%,0:01:33,1,1
Faculty Club,4,2.75,100.00%,0.00%,0:00:24,0,0
Goodhue Hall,4,3.5,75.00%,11.54%,0:01:56,1.5,1
Gym,4,12.25,0.00%,6.12%,0:41:39,9.75,0
Horse,4,2.75,25.00%,18.18%,0:01:10,1.75,0
Jarchow,4,3.75,0.00%,33.33%,0:15:16,1.5,0
John Schott,4,1.5,75.00%,0.00%,0:00:05,0.25,0
Knights,4,2.5,25.00%,40.00%,0:02:53,0.75,0
Little Nourse,4,5.5,0.00%,9.09%,0:09:11,3.5,0
Lonnes,4,4.5,50.00%,0.00%,0:24:57,3.5,0
Miscellany,4,4.5,25.00%,16.67%,0:06:38,2.25,0
Music,4,4.5,25.00%,11.11%,0:02:08,1.25,0
Musser Hall,4,4.5,25.00%,16.67%,0:01:41,1.25,0
Physical Education,4,3.75,50.00%,24.04%,0:08:27,1.5,1
Plays,4,4.75,0.00%,21.05%,0:01:28,3,0
Postcards,4,2.5,25.00%,30.00%,0:09:53,0.25,0
Race,4,2.25,25.00%,44.44%,0:01:28,0.75,0
Scrapbooks,4,2.25,50.00%,22.22%,0:02:50,0,0
Series 5,4,1,100.00%,0.00%,0:00:00,0,0
Tennis,4,2,0.00%,50.00%,0:00:47,0.5,0
The Carleton Story,4,2.5,75.00%,20.00%,0:00:23,0.25,0
Theatre,4,2.25,25.00%,33.33%,0:00:45,0.5,0
Thorstein Veblen,4,4,50.00%,25.00%,0:03:27,1.25,1
Tug Of War,4,4,25.00%,0.00%,0:01:07,3.75,0
Tunnels,4,2.25,0.00%,22.22%,0:04:16,1.5,0
Weitz,4,2,25.00%,25.00%,0:02:07,2.5,0
Women Soccer,4,11,0.00%,6.82%,0:17:53,13,0
Women's Cross Country,4,5.25,75.00%,0.00%,0:03:04,3,0
Women's Soccer,4,5.5,50.00%,3.13%,0:03:40,3.25,1
2015-07,3,2.33,33.33%,14.29%,0:04:09,2.33,0
Aerial,3,10.67,33.33%,3.12%,0:13:51,17,0
Bald Spot,3,2.33,33.33%,14.29%,0:00:29,0.67,0
Bardwell Smith,3,5,0.00%,20.00%,0:06:07,2,0
Bob Will,3,1.67,0.00%,80.00%,0:04:59,0,0
Bouncing,3,4,0.00%,25.00%,0:01:04,3,0
Buckminster,3,1.33,100.00%,0.00%,0:00:04,0,0
Burton Hall,3,2.67,0.00%,37.50%,0:01:46,1,0
Calendar,3,3.33,33.33%,30.00%,0:05:29,0,0
Carleton The First Century,3,1.33,33.33%,66.67%,0:00:24,0,2
Choir,3,11.67,0.00%,5.71%,0:10:10,4.33,0
Computing,3,2.33,33.33%,14.29%,0:00:36,0.67,0
Cowling Gym,3,4.67,0.00%,20.00%,0:10:58,5,1
Dacie Moses,3,2.67,0.00%,37.50%,0:25:57,7.67,0
Davis Hall,3,3.33,0.00%,40.00%,0:03:06,1.67,0
Drama,3,3,33.33%,22.22%,0:01:48,5,0
Druid,3,5.33,66.67%,6.25%,0:03:14,2.33,0
Ebony Ii,3,8.67,100.00%,0.00%,0:03:09,3.67,1
Eleanor Hansen,3,6.33,0.00%,10.53%,0:06:56,1.33,0
Equestrian,3,2.67,33.33%,25.00%,0:00:31,0,0
Erling Larsen,3,1.67,66.67%,0.00%,0:09:41,2,0
Ethnicity,3,1.33,33.33%,50.00%,0:00:20,0,0
Faculty Directory,3,3,33.33%,11.11%,0:02:08,0.33,0
French,3,2,33.33%,33.33%,0:06:42,6,0
Gay,3,6,0.00%,32.14%,0:08:47,0.67,1
Gridley Hall,3,7,66.67%,4.76%,0:05:36,3,1
Grow,3,1.33,0.00%,100.00%,0:07:51,1.67,1
Harry Tate,3,2.67,33.33%,25.00%,0:00:33,0,0
Hulings,3,2,66.67%,33.33%,0:00:24,0,1
India,3,4,33.33%,16.67%,0:01:23,1,0
Investment Committee,3,6.33,0.00%,20.59%,0:04:50,5.33,1
James Dow,3,3.33,0.00%,30.00%,0:16:54,2,0
Keith Harrison,3,1.67,0.00%,38.89%,0:01:07,0.67,1
Lagniappe,3,2,33.33%,33.33%,0:00:32,0,1
Laird,3,4.67,33.33%,14.29%,0:07:12,3.33,0
Library Addition,3,2,66.67%,22.22%,0:00:09,0,1
Map Of Campus,3,2.67,33.33%,12.50%,0:05:53,0.67,0
Maps,3,2.67,33.33%,25.00%,0:10:22,3,0
Margaret Dow,3,3.67,33.33%,18.18%,0:04:06,0,0
Men's Athletics,3,1,33.33%,66.67%,0:01:59,0,0
Morgan Fellow,3,3.33,33.33%,30.00%,0:02:14,0,0
Moving,3,1.67,0.00%,60.00%,0:00:53,0.67,0
Myra Brown,3,1.67,33.33%,66.67%,0:00:09,0,1
Ocs,3,3,33.33%,19.05%,0:01:19,0.33,1
Picnic,3,8.33,0.00%,16.00%,0:05:37,5.67,0
Pine Hill Village,3,4.67,66.67%,5.55%,0:02:54,0,1
President's Office,3,5,33.33%,14.81%,0:04:08,2.33,1
Protest,3,4.33,0.00%,23.08%,0:08:15,3.67,0
Riggs,3,1.33,33.33%,50.00%,0:12:11,0.33,0
Room Draw,3,4.33,0.00%,38.46%,0:03:13,1.33,0
Russ Petricka,3,1.67,66.67%,20.00%,0:00:08,0,0
Sayles,3,4,0.00%,8.33%,0:18:09,2,0
Seccombe,3,2.67,0.00%,25.00%,0:02:02,1.33,0
Simenstad,3,3.33,66.67%,0.00%,0:03:09,1.33,0
Singing Knights,3,7.33,66.67%,4.55%,0:01:26,1.67,0
Soccer,3,12.33,33.33%,0.00%,0:16:30,6.33,0
Sports,3,5.67,33.33%,11.76%,0:03:15,1,0
Stork,3,38.33,33.33%,1.61%,0:07:14,11,1
Strong,3,2.33,0.00%,57.14%,0:01:05,2,0
Technology,3,6.67,33.33%,16.67%,0:03:25,4.33,1
Tennis Court,3,3.33,0.00%,20.00%,0:08:09,1.67,0
Track And Field,3,4.33,0.00%,7.69%,0:04:15,6.33,0
Transcripts,3,5.33,33.33%,12.50%,0:12:57,12.67,0
Transportation,3,2,66.67%,16.67%,0:00:47,0,0
Tuomi,3,3.33,0.00%,8.33%,0:03:26,1.67,1
Twigonometry,3,1.67,33.33%,20.00%,0:00:50,1.67,0
Vick,3,1,0.00%,66.67%,0:00:08,0.33,1
William Carleton,3,5.33,0.00%,25.00%,0:10:24,1.67,0
Wind Turbine,3,1.67,0.00%,60.00%,0:01:55,0.33,0
Women's Athletics,3,2.67,0.00%,37.50%,0:00:41,0,0
Womens Softball,3,1,0.00%,100.00%,0:00:14,0,0
1883 Football,2,3,0.00%,16.67%,0:00:16,0.5,0
2014-07,2,4.5,0.00%,44.44%,0:02:54,0,0
Alcohol,2,2,50.00%,25.00%,0:00:21,0,0
Alex Robinson,2,2.5,50.00%,0.00%,0:01:05,0.5,0
Alumni,2,2.5,0.00%,40.00%,0:00:29,0,0
Anatolia,2,1.5,0.00%,100.00%,0:04:28,0,0
Annual Reports,2,2.5,0.00%,16.66%,0:01:18,4,1
Arboret,2,2,50.00%,0.00%,0:02:07,1.5,0
Archery,2,2,0.00%,25.00%,0:00:43,1,0
Archives,2,2.5,50.00%,40.00%,0:06:45,5.5,0
Artifacts,2,3.5,0.00%,42.86%,0:02:42,0,0
Band,2,4,0.00%,25.00%,0:03:15,0,0
Bdag,2,3,0.00%,33.33%,0:07:41,1.5,0
Beanie,2,4.5,100.00%,0.00%,0:05:37,0.5,0
Black Hole,2,1.5,50.00%,0.00%,0:00:13,0.5,0
Blind,2,7,0.00%,14.29%,0:01:55,0.5,0
Boliou,2,5,50.00%,0.00%,0:04:30,1,0
Book,2,8,0.00%,12.50%,0:04:10,4,0
Breaking Ground,2,1,100.00%,0.00%,0:00:00,0,0
Brecht,2,2,0.00%,50.00%,0:00:13,0,0
Campus Plan,2,3.5,50.00%,14.29%,0:00:57,0.5,0
Cams,2,1.5,50.00%,33.33%,0:00:52,1,0
Carleton Forest,2,1.5,50.00%,50.00%,0:14:10,0,1
Carleton Players,2,6.5,0.00%,15.38%,0:13:20,0.5,0
Caucasian,2,1.5,0.00%,66.67%,0:09:30,1.5,0
Cave,2,7,50.00%,0.00%,0:01:46,5,0
Center For Math And Computing,2,3.5,0.00%,42.86%,0:00:41,0.5,0
Chalk,2,2,0.00%,50.00%,0:00:38,0.5,0
Chalk Circle,2,1,0.00%,100.00%,0:12:37,8,0
Chapel Organ,2,2,100.00%,0.00%,0:00:53,0,0
Charles Goodsell,2,2,50.00%,0.00%,0:00:05,0.5,1
Charles M. Thompson,2,1,0.00%,100.00%,0:01:29,0,0
Cheerboys,2,1,0.00%,100.00%,0:00:20,0,0
Chemistry,2,11.5,50.00%,13.04%,0:09:19,1.5,0
China,2,2.5,50.00%,20.00%,0:01:11,0.5,0
Cirp,2,1,50.00%,50.00%,0:00:06,0,1
Classroom,2,1,100.00%,0.00%,0:00:00,0,0
Cmc,2,2,0.00%,50.00%,0:01:29,1,1
Co-Op,2,2.5,0.00%,40.00%,0:07:14,0,0
