Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth,Alternate Spellings
Arboretum,49,5.44,48.98%,9.08%,0:05:00,3.11,3
Mai Fete,38,6.47,44.74%,10.91%,0:08:12,3.5,6
Promotional,29,2.1,65.52%,15.20%,0:04:58,0.94,1
Schiller,22,6.09,27.27%,13.85%,0:06:20,3.23,3
Chapel,21,8.24,23.80%,6.74%,0:05:26,5.43,3
Ele Hansen,21,3,4.76%,49.13%,0:03:46,1.62,8
Football ----,21,23.38,19.05%,28.02%,0:11:28,10.19,7
Library,20,8.5,15.00%,17.34%,0:08:26,5.75,1
Women's Basketball,19,4.74,47.37%,27.04%,0:03:29,3.1,7
Baseball,18,4.39,72.22%,10.40%,0:04:50,1.06,1
Campus Map,15,2.87,26.67%,30.92%,0:02:59,0.73,6
Carletonian,15,2.4,40.00%,40.74%,0:01:03,1.2,7
Theater,15,6.67,26.67%,14.35%,0:12:22,8.87,3
Clap,14,2.07,42.86%,27.72%,0:00:40,0.15,3
Paul Wellstone,14,1.86,50.00%,16.33%,0:01:08,1.29,6
Robert E. Will,14,3.93,57.14%,8.24%,0:09:09,1.43,1
Rotblatt,14,4.07,49.99%,25.65%,0:02:29,1.29,2
Willis,14,3.78,28.57%,13.35%,0:02:36,2.79,3
Goodhue,13,3.31,38.46%,13.10%,0:04:58,2.84,2
Computing,12,4.67,16.67%,15.59%,0:04:42,3.42,2
Gridley Hall,12,6.42,25.00%,22.48%,0:03:41,3.17,4
Lyman Lakes,12,3.25,41.67%,12.84%,0:02:50,2.33,1
Musser Hall,12,5.91,33.33%,11.84%,0:07:07,5.34,1
Nordic,12,2.33,8.33%,8.59%,0:01:16,1.5,1
Zoobook,12,3.58,41.66%,22.35%,0:01:18,0.58,5
Homecoming,11,6,54.55%,5.68%,0:04:55,2.18,1
Plays,11,10,9.09%,13.25%,0:11:08,10.27,1
Scrapbook,11,2.45,36.37%,30.54%,0:05:46,0.45,2
Veblen,11,2.09,63.64%,9.09%,0:02:18,0.73,1
Algol ----,10,2.4,39.99%,23.34%,0:06:09,3.1,4
Basketball,10,5.9,30.00%,29.44%,0:03:45,4.4,3
Cross Country,10,5.5,50.00%,8.89%,0:05:47,2.3,2
Goodsell,10,3.2,20.00%,27.41%,0:05:04,1.5,1
John W. Nason,10,4.5,30.00%,26.34%,0:21:38,7.6,3
New Student Week,10,2.3,40.00%,17.39%,0:04:58,1,0
Opening Convocation ----,10,1.9,20.00%,61.90%,0:03:01,0,6
Pat Lamb,10,3.4,20.00%,34.00%,0:18:26,2.4,1
Residential Life,10,5.8,30.00%,17.64%,0:03:34,0.3,3
Softball,10,4.1,40.00%,9.76%,0:06:59,1.4,0
Women's Tennis,10,2.7,10.00%,18.81%,0:08:30,2,1
Comps,9,3.22,66.67%,12.70%,0:01:06,1,1
Csa,9,1.89,55.56%,29.41%,0:05:15,0.11,0
Lyman B. Sperry,9,1.89,66.67%,11.85%,0:01:02,1,2
Reunion ----,9,1,0.00%,100.00%,0:03:09,0.67,8
Women's Soccer,9,7.44,22.22%,15.53%,0:09:35,7.22,3
Women's Softball,9,1.89,0.00%,61.91%,0:01:22,0.45,1
Bridge,8,5.88,37.50%,14.89%,0:10:03,4.75,0
Course Catalog,8,2.88,87.50%,4.35%,0:01:16,1.38,0
Cowling,8,3.38,12.50%,38.55%,0:05:01,1.37,1
Farm,8,5.25,25.00%,9.52%,0:07:12,2.5,0
Mai Fete Poster,8,2.75,12.50%,28.29%,0:01:15,2.63,2
Nutting,8,1.12,62.50%,23.44%,0:02:49,0.62,1
Oral History,8,3.88,12.50%,21.25%,0:06:25,1.13,1
Pranks,8,5.63,37.49%,15.19%,0:06:00,0.88,2
Scoville,8,4.12,25.00%,15.42%,0:02:23,3.13,1
Carleton In China,7,2.29,85.71%,6.25%,0:00:33,0,0
Catalog,7,4.43,57.14%,12.90%,0:09:02,1.71,0
Druids,7,3.71,28.57%,14.11%,0:05:26,1.71,1
Nason,7,4.29,42.86%,13.57%,0:02:22,1.14,1
Nourse Hall,7,3.71,14.29%,21.65%,0:02:29,1.29,1
Publications,7,3,0.00%,9.52%,0:07:30,6.29,0
Seccombe House,7,7,14.29%,16.63%,0:03:49,2,3
Track ----,7,5.14,14.29%,20.78%,0:01:58,2.29,2
Volleyball,7,6.28,42.85%,14.29%,0:06:36,3,2
Wayne Carver World,7,2.86,14.29%,38.23%,0:05:39,0.86,2
Athletics,6,2,16.67%,66.67%,0:07:43,1.5,0
Bonfire,6,2.67,33.33%,18.75%,0:02:28,3.33,0
Carleton: The First Century,6,1.33,33.33%,50.00%,0:00:39,0.17,5
Class Of ----,6,2.67,66.67%,25.00%,0:01:10,0.83,5
Earl A. Neil,6,5.17,33.33%,16.15%,0:08:40,1.67,1
Gould,6,4.5,0.00%,21.74%,0:02:22,2.5,1
Isabella Watson,6,4.33,16.67%,23.02%,0:04:32,6.33,2
Laird Stadium,6,4,0.00%,12.50%,0:04:16,3.33,0
Oral Histories,6,2,66.67%,8.33%,0:05:56,0.67,0
Study,6,7.33,16.67%,9.09%,0:04:22,4,0
Swimming,6,6.67,50.00%,7.50%,0:07:23,7.67,0
Video,6,5.83,33.33%,14.29%,0:08:31,1,0
Williams,6,3.83,16.67%,28.03%,0:01:46,2.33,1
Women's Athletics,6,2,0.00%,57.64%,0:01:02,2.33,2
Arboretum Purchase,5,1.2,0.00%,90.00%,0:00:08,0,4
Art,5,4.4,20.00%,18.18%,0:04:19,0.8,0
Calendar,5,2.4,20.00%,58.00%,0:03:23,0,2
Commencement,5,14,40.00%,0.00%,0:09:23,11,1
Dacie Moses,5,2.6,20.00%,32.50%,0:19:16,5.6,2
Evans Hall,5,6.6,80.00%,4.00%,0:05:16,5,1
Fest,5,2,20.00%,50.00%,0:01:10,1.8,0
Field Day,5,2.8,20.00%,28.57%,0:04:56,2.4,0
Frisbee,5,3.6,0.00%,16.43%,0:03:27,2.8,1
Horses,5,2.6,20.00%,24.54%,0:01:44,1.6,1
Irony Sade,5,3,60.00%,6.67%,0:02:11,0.2,0
Its,5,3.8,60.00%,15.79%,0:05:01,0.6,0
Knights,5,2.2,40.00%,32.00%,0:02:18,0.6,1
Little Nourse Theatre,5,4.6,0.00%,27.27%,0:07:22,2.8,1
Lonness,5,4,40.00%,10.00%,0:19:59,2.8,1
Ltc,5,1.8,60.00%,40.00%,0:01:16,0.2,2
Midwinter Ball,5,6.8,0.00%,16.59%,0:01:21,4.6,2
Morgan Fellows,5,2.4,20.00%,58.00%,0:01:23,0,1
Music,5,3.8,20.00%,28.89%,0:01:48,1,1
Off Campus Studies,5,1.6,60.00%,30.00%,0:00:14,0,2
Oscar,5,2.4,0.00%,56.36%,0:00:25,0.4,1
Penguin,5,2,20.00%,40.00%,0:01:35,0.8,0
Physical Education,5,4,40.00%,23.23%,0:07:48,1.2,2
Postcard,5,3.4,20.00%,26.86%,0:08:29,0.2,1
Skinner,5,2.4,80.00%,5.00%,0:00:20,0.4,1
Strike,5,4,20.00%,15.00%,0:02:06,5.2,0
Thorstein Veblen Collection,5,4,60.00%,20.00%,0:04:02,1,2
Transcript,5,4.2,40.00%,7.50%,0:07:53,7.8,1
West Gym,5,3.6,40.00%,11.11%,0:03:44,0.6,0
William Carleton,5,4.4,20.00%,21.67%,0:06:28,1,2
Wind Turbine,5,2,0.00%,61.00%,0:04:50,0.4,2
Annual Report,4,2.75,50.00%,8.33%,0:00:41,2,3
Arboretum Map,4,2.75,25.00%,50.00%,0:06:06,1.25,3
Bell Field,4,6.25,0.00%,24.00%,0:08:49,7.25,0
Canoe,4,3.25,0.00%,39.77%,0:08:03,0.75,1
Canoe House,4,2.75,25.00%,36.46%,0:01:34,0.25,1
Center For Math And Computing,4,2.75,25.00%,46.43%,0:00:27,0.25,2
Cowling Gym,4,3.75,0.00%,40.00%,0:08:17,3.75,2
David H. Porter,4,2.75,50.00%,29.17%,0:10:24,1,2
Deane Barbour,4,1,100.00%,0.00%,0:00:00,0,0
Demographics,4,1.75,25.00%,58.33%,0:00:39,0,2
Dorms,4,3,25.00%,25.00%,0:01:50,1.5,1
Etb,4,6.25,0.00%,16.03%,0:01:33,1,1
Faculty Club,4,2.75,100.00%,0.00%,0:00:24,0,0
Gym,4,12.25,0.00%,6.12%,0:41:39,9.75,0
Harry Tate,4,2.25,50.00%,18.75%,0:00:24,0,1
Hulings,4,3,75.00%,25.00%,0:00:48,0.25,2
Jarchow,4,3.75,0.00%,33.33%,0:15:16,1.5,0
John Schott,4,1.5,75.00%,0.00%,0:00:05,0.25,0
Leighton Hall,4,5,0.00%,20.20%,0:15:32,3.25,1
Lgbt,4,2.5,0.00%,47.62%,0:09:00,0.75,1
Margaret Thompson,4,1.25,0.00%,66.66%,0:00:30,1,1
Men's Athletics,4,1,25.00%,50.00%,0:03:46,0.25,1
Miscellany,4,4.5,25.00%,16.67%,0:06:38,2.25,0
Race,4,2.25,25.00%,44.44%,0:01:28,0.75,0
Russ Petricka,4,1.5,50.00%,40.00%,0:00:07,0,1
Tennis,4,2,0.00%,50.00%,0:00:47,0.5,0
Tennis Courts,4,3,0.00%,27.50%,0:06:30,1.25,1
The Carleton Story,4,2.5,75.00%,20.00%,0:00:23,0.25,0
Track And Field,4,3.75,0.00%,18.27%,0:03:55,4.75,1
Tug Of War,4,4,25.00%,0.00%,0:01:07,3.75,0
