Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
Arboretum,87,2,64.71%: 0.00%: 25.00%: 100.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 100.00%: 0.00%: 100.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 100.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%,4.59%: 26.67%: 4.76%: 0.00%: 14.29%: 100.00%: 100.00%: 0.00%: 50.00%: 100.00%: 40.00%: 100.00%: 100.00%: 100.00%: 0.00%: 100.00%: 0.00%: 100.00%: 0.00%: 100.00%: 100.00%: 100.00%: 0.00%: 100.00%: 0.00%: 100.00%: 50.00%: 100.00%: 100.00%: 100.00%: 100.00%,0:02:22,1
Library,31,1,20.00%: 40.00%: 0.00%: 0.00%: 0.00%: 0.00%: 100.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 100.00%,10.42%: 29.41%: 100.00%: 100.00%: 50.00%: 20.00%: 0.00%: 100.00%: 100.00%: 100.00%: 50.00%: 100.00%: 0.00%,0:00:22,0
Mai fete,29,3,37.50%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 100.00%: 0.00%,7.79%: 35.71%: 20.00%: 33.33%: 100.00%: 7.69%: 16.67%: 0.00%: 100.00%,0:04:26,7
transcript,23,1,25.00%: 71.43%,27.50%: 5.88%,0:07:20,1
Goodhue,22,1,28.57%: 50.00%: 50.00%: 100.00%: 0.00%,12.00%: 15.79%: 20.00%: 0.00%: 100.00%,0:04:30,0
Paul Wellstone,21,2,90.91%: 40.00%: 50.00%: 0.00%: 100.00%: 100.00%,0.00%: 15.38%: 11.11%: 50.00%: 0.00%: 0.00%,0:02:20,1
Comps,20,2,58.82%: 66.67%,15.15%: 22.22%,0:01:49,0
Reunion,20,1,0.00%: 50.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 100.00%: 100.00%: 0.00%,100.00%: 50.00%: 100.00%: 100.00%: 100.00%: 100.00%: 100.00%: 100.00%: 100.00%: 100.00%: 100.00%: 100.00%: 100.00%: 100.00%: 0.00%: 0.00%: 100.00%,0:00:18,0
Goodsell,18,1,22.22%: 25.00%: 0.00%: 0.00%,6.38%: 7.69%: 22.22%: 11.11%,0:04:12,1
Class of ----,17,2,50.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 100.00%: 0.00%: 0.00%: 100.00%: 0.00%: 0.00%: 0.00%: 100.00%: 0.00%: 0.00%,33.33%: 100.00%: 33.33%: 100.00%: 33.33%: 50.00%: 0.00%: 100.00%: 33.33%: 0.00%: 100.00%: 100.00%: 100.00%: 50.00%: 100.00%: 100.00%,0:02:20,0
Gridley,17,6,0.00%: 25.00%: 50.00%: 0.00%: 0.00%: 0.00%,5.56%: 17.65%: 2.22%: 3.33%: 100.00%: 50.00%,0:06:35,9
women's cabin,17,1,85.71%: 0.00%: 0.00%: 0.00%,0.00%: 50.00%: 100.00%: 100.00%,0:02:39,2
Carletonian,16,1,50.00%: 0.00%: 0.00%: 100.00%: 100.00%: 100.00%: 0.00%,18.18%: 100.00%: 100.00%: 0.00%: 0.00%: 0.00%: 100.00%,0:00:11,0
computer,16,1,11.11%: 60.00%: 0.00%: 0.00%,16.07%: 0.00%: 100.00%: 50.00%,0:05:39,1
Women's League Cabin,15,2,33.33%: 33.33%: 100.00%: 0.00%: 0.00%: 0.00%: 0.00%,5.26%: 11.11%: 0.00%: 50.00%: 50.00%: 50.00%: 100.00%,0:02:34,1
Lyman Lakes,15,2,62.50%: 25.00%: 0.00%: 0.00%,0.00%: 16.67%: 0.00%: 100.00%,0:01:30,1
Seccombe House,15,1,0.00%: 25.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%,12.50%: 9.52%: 7.41%: 50.00%: 100.00%: 100.00%: 100.00%,0:05:26,4
Wayne Carver,15,2,36.36%: 66.67%: 100.00%,10.26%: 6.25%: 0.00%,0:03:34,1
Burton,14,2,33.33%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%,33.33%: 9.09%: 16.67%: 20.00%: 66.67%: 33.33%,0:05:23,1
Theater,14,1,40.00%: 25.00%: 0.00%: 50.00%,6.45%: 9.09%: 42.86%: 0.00%,0:12:25,3
Sayles-Hill,14,6,16.67%: 50.00%: 0.00%: 50.00%: 0.00%: 0.00%,2.86%: 16.67%: 33.33%: 0.00%: 9.52%: 25.00%,0:02:41,4
Catalogue,14,2,62.50%: 50.00%: 100.00%: 0.00%: 100.00%,22.22%: 0.00%: 0.00%: 20.00%: 0.00%,0:01:29,0
campus,14,2,0.00%: 33.33%: 50.00%: 0.00%: 0.00%: 0.00%: 0.00%,40.00%: 33.33%: 0.00%: 100.00%: 25.00%: 100.00%: 100.00%,0:01:18,0
Laird,13,3,41.67%: 0.00%,6.67%: 50.00%,0:02:07,0
Farm,13,6,25.00%: 0.00%,16.67%: 22.22%,0:02:23,5
Schiller,12,3,22.22%: 0.00%: 100.00%,16.00%: 5.56%: 0.00%,0:05:28,0
