Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
arboretum,83,5.05,38.55%,13.13%,0:07:56,2.4
publications,48,2.04,4.17%,10.20%,0:05:13,4.46
carletonian,41,4.22,36.59%,17.34%,0:06:20,1.34
schiller,35,4.97,22.86%,15.52%,0:07:52,3.06
library,34,7.53,20.59%,10.55%,0:08:25,4.5
may fete,33,6,33.33%,8.59%,0:10:49,3.76
baseball,28,5.21,53.57%,9.59%,0:10:22,2.32
csa,28,2.96,39.29%,28.92%,0:06:05,0.61
sports photo,28,2.39,35.71%,25.37%,0:14:52,2.64
promotional,27,1.81,70.37%,16.33%,0:03:30,0.56
clap,26,2.15,34.62%,30.36%,0:01:38,0.08
rockefeller,25,2.08,60.00%,23.08%,0:06:36,0.72
maps,24,2.29,50.00%,20.00%,0:05:52,0.79
oral history,24,2.83,37.50%,13.24%,0:05:34,1
basketball,23,5.13,26.09%,16.10%,0:06:12,5
gridley,23,4.43,21.74%,14.71%,0:06:58,3.57
chapel,22,7.23,22.73%,5.66%,0:06:28,5.64
commencement,22,5.45,27.27%,14.17%,0:11:07,6.05
goodsell,22,4.14,22.73%,20.88%,0:08:20,3.59
scoville,22,4.59,18.18%,13.86%,0:04:29,2.55
annual reports,21,2.19,38.10%,23.91%,0:08:31,0.95
football,21,23.05,23.81%,4.34%,0:12:05,10.48
goodhue,20,3.1,10.00%,20.97%,0:06:08,2.7
algol,19,2.26,47.37%,23.26%,0:04:31,1.68
farm,19,4.37,15.79%,15.66%,0:07:06,2.37
rotblatt,19,2.79,31.58%,26.42%,0:06:30,1.58
serial publications,18,1.33,0.00%,0.00%,0:53:02,21.11
arb,17,3.65,5.88%,27.42%,0:06:21,4.29
new student week,17,2.59,29.41%,25.00%,0:04:47,0.65
Wellstone,17,2.12,58.82%,22.22%,0:05:25,4.18
homecoming,16,5.19,31.25%,13.25%,0:05:24,2
lyman lakes,16,3.62,37.50%,10.34%,0:07:48,2.81
transcripts,16,2.5,75.00%,5.00%,0:02:55,2.94
wayne carver,16,2.69,37.50%,25.58%,0:06:05,1
margaret evans,15,2.53,33.33%,15.79%,0:03:36,1.6
20131219_ChoirScans/data/originals/images,14,11.36,42.86%,0.00%,0:15:35,9.07
carleton in china,14,2.36,50.00%,15.15%,0:02:52,0.71
gould,14,2.86,21.43%,32.50%,0:04:29,2.21
special events,14,1.43,35.71%,30.00%,0:05:01,1.21
west gym,14,2.79,21.43%,33.33%,0:04:26,0.71
computer,13,4.23,7.69%,25.45%,0:10:22,5.46
ele hansen,13,2.62,7.69%,44.12%,0:05:56,2.31
pat lamb,13,2.92,23.08%,28.95%,0:14:32,2.08
carleton graphic,12,2.67,8.33%,34.38%,0:03:49,0.5
catalog,12,4.25,58.33%,11.76%,0:07:19,1.42
cowling,12,3.17,16.67%,31.58%,0:07:57,1.58
mai fete,12,4.17,33.33%,20.00%,0:03:15,1
scrapbook,12,2.17,16.67%,46.15%,0:05:51,0.42
softball,12,3.83,41.67%,10.87%,0:07:29,1.5
yamasaki,12,1.67,58.33%,20.00%,0:04:56,2
aerial,11,9.64,9.09%,6.60%,0:13:18,12.45
clinton,11,2.27,27.27%,36.00%,0:04:19,1.18
cross country,11,3.55,45.45%,17.95%,0:07:28,1
druid,11,3.55,36.36%,20.51%,0:04:01,2.55
earl neil,11,5.09,27.27%,14.29%,0:07:52,0.91
gould library,11,2.27,9.09%,40.00%,0:01:04,0.45
penguin,11,2.18,9.09%,50.00%,0:02:58,0.73
swimming,11,4.82,36.36%,13.21%,0:07:49,4.91
veblen,11,2.36,54.55%,11.54%,0:06:50,1
voice,11,2.36,18.18%,38.46%,0:08:49,0.73
comps,10,3.7,80.00%,10.81%,0:01:04,0.5
music,10,3.4,30.00%,17.65%,0:04:22,0.9
musser,10,6,30.00%,13.33%,0:08:07,5.9
nason,10,2.6,50.00%,19.23%,0:03:44,0.9
nutting,10,1.5,60.00%,20.00%,0:02:41,0.5
oscar,10,2.5,10.00%,52.00%,0:02:56,0.3
stork,10,20.8,10.00%,3.85%,0:08:13,4.4
transcript,10,2,50.00%,25.00%,0:03:32,0.1
vick,10,1.4,20.00%,57.14%,0:04:25,1.7
women's tennis,10,2.5,10.00%,20.00%,0:09:25,1.7
7/15/15,9,2,44.44%,33.33%,0:04:15,0.11
athletics,9,1.78,11.11%,68.75%,0:07:49,4.11
bridge,9,5.56,33.33%,16.00%,0:09:21,4.44
convocation,9,3.22,22.22%,31.03%,0:10:55,0.67
course catalog,9,2.78,88.89%,4.00%,0:01:09,1.22
druids,9,2.56,0.00%,34.78%,0:05:59,0.78
horace goodhue,9,2.11,22.22%,15.79%,0:14:47,1.67
john nason,9,3.33,33.33%,30.00%,0:16:01,8.33
noon news bulletin,9,2.22,33.33%,25.00%,0:02:06,2.22
nordic,9,2.67,11.11%,8.33%,0:01:05,1.67
robert e. will,9,4.56,66.67%,4.88%,0:10:01,2
strike,9,4,22.22%,19.44%,0:02:13,4
volleyball,9,7.89,44.44%,4.23%,0:13:53,5.33
