Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
arboretum,40,6.12,55.00%,6.12%,0:05:24,2.88
promotional,27,1.81,70.37%,16.33%,0:03:30,0.56
may fete,20,6.7,45.00%,5.22%,0:12:02,4.65
schiller,19,6.68,31.58%,9.45%,0:07:19,3.68
baseball,17,4.59,76.47%,5.13%,0:05:07,1.12
chapel,13,9,38.46%,3.42%,0:03:41,5.85
football,13,36.38,30.77%,2.96%,0:17:31,16.31
library,13,11.85,15.38%,6.49%,0:12:34,8.69
20131219_ChoirScans/data/originals/images,12,12.67,41.67%,0.00%,0:16:00,9
clap,10,2.1,40.00%,23.81%,0:00:39,0.2
ele hansen,10,3,10.00%,36.67%,0:05:14,2.5
homecoming,10,6.4,50.00%,6.25%,0:05:25,2.4
lyman lakes,10,3.7,50.00%,5.41%,0:03:22,2.6
mai fete,10,4,40.00%,22.50%,0:03:26,0.8
new student week,10,2.3,40.00%,17.39%,0:04:58,1
softball,10,4.1,40.00%,9.76%,0:06:59,1.4
csa,9,1.89,55.56%,29.41%,0:05:15,0.11
goodhue,9,3.22,22.22%,13.79%,0:06:19,3.44
goodsell,9,3.44,22.22%,19.35%,0:05:23,1.67
robert e. will,9,4.56,66.67%,4.88%,0:10:01,2
rotblatt,9,2.56,44.44%,26.09%,0:03:14,1.56
women's tennis,9,2.33,11.11%,19.05%,0:09:07,1.89
bridge,8,5.88,37.50%,14.89%,0:10:03,4.75
carletonian,8,2.5,50.00%,25.00%,0:01:45,2.25
comps,8,3.5,62.50%,14.29%,0:01:15,1.12
computer,8,4.38,12.50%,17.14%,0:05:03,4.38
course catalog,8,2.88,87.50%,4.35%,0:01:16,1.38
farm,8,5.25,25.00%,9.52%,0:07:12,2.5
musser,8,6.62,37.50%,9.43%,0:09:51,7.38
nordic,8,2.75,12.50%,4.55%,0:01:10,1.5
pat lamb,8,3.75,25.00%,30.00%,0:21:21,3
basketball,7,6.43,42.86%,11.11%,0:04:48,4.71
carleton in china,7,2.29,85.71%,6.25%,0:00:33,0
catalog,7,4.43,57.14%,12.90%,0:09:02,1.71
gould library,7,2.29,14.29%,37.50%,0:00:46,0.29
gridley,7,3.86,14.29%,22.22%,0:01:54,2.86
john nason,7,3.43,42.86%,16.67%,0:17:30,10.14
nutting,7,1.14,71.43%,12.50%,0:00:21,0.57
oral history,7,4.29,14.29%,10.00%,0:07:16,1.29
play,7,13,14.29%,8.79%,0:16:40,14.43
publications,7,3,0.00%,9.52%,0:07:30,6.29
scoville,7,2.57,14.29%,16.67%,0:01:46,2
theater,7,7,28.57%,10.20%,0:15:58,6.29
veblen,7,2,42.86%,14.29%,0:03:21,1.14
Wellstone,7,1,85.71%,0.00%,0:00:33,0.43
willis hall,7,4.57,42.86%,9.38%,0:01:10,2.57
women's basketball,7,8.29,57.14%,8.62%,0:03:35,6.14
7/15/14,6,2.67,16.67%,37.50%,0:11:33,0
7/15/15,6,2.5,33.33%,33.33%,0:04:38,0.17
algol,6,3,33.33%,16.67%,0:08:06,3.83
arb,6,2.5,0.00%,33.33%,0:03:35,5.67
athletics,6,2,16.67%,66.67%,0:07:43,1.5
bonfire,6,2.67,33.33%,18.75%,0:02:28,3.33
Chapel,6,8.5,0.00%,7.84%,0:06:26,5.67
cowling,6,4,16.67%,29.17%,0:06:27,1.83
fete poster,6,3.17,0.00%,21.05%,0:01:37,3.5
laird stadium,6,4,0.00%,12.50%,0:04:16,3.33
oral histories,6,2,66.67%,8.33%,0:05:56,0.67
pranks,6,6.33,33.33%,10.53%,0:07:52,1.17
residential life,6,3.67,33.33%,22.73%,0:02:18,0.17
scrapbook,6,2.83,16.67%,41.18%,0:08:41,0.83
study,6,7.33,16.67%,9.09%,0:04:22,4
swimming,6,6.67,50.00%,7.50%,0:07:23,7.67
video,6,5.83,33.33%,14.29%,0:08:31,1
women softball,6,2.33,0.00%,42.86%,0:01:56,0.67
zoobook,6,2.67,33.33%,25.00%,0:02:06,1.17
art,5,4.4,20.00%,18.18%,0:04:19,0.8
cross country,5,5.8,40.00%,13.79%,0:06:49,2.2
earl neil,5,5.2,40.00%,15.38%,0:10:04,1.8
fest,5,2,20.00%,50.00%,0:01:10,1.8
field day,5,2.8,20.00%,28.57%,0:04:56,2.4
gould,5,4.6,0.00%,26.09%,0:02:26,2.4
irony sade,5,3,60.00%,6.67%,0:02:11,0.2
ITS,5,3.8,60.00%,15.79%,0:05:01,0.6
lyman b. sperry,5,1.8,80.00%,0.00%,0:00:42,1.8
nason,5,4,40.00%,15.00%,0:01:25,0.4
nourse,5,3,20.00%,26.67%,0:00:58,0.4
penguin,5,2,20.00%,40.00%,0:01:35,0.8
robert will,5,2.8,40.00%,14.29%,0:07:36,0.4
strike,5,4,20.00%,15.00%,0:02:06,5.2
track,5,6.6,20.00%,9.09%,0:02:43,3
volleyball,5,8,40.00%,0.00%,0:09:03,4
wayne carver,5,3.4,20.00%,23.53%,0:04:35,1.2
west gym,5,3.6,40.00%,11.11%,0:03:44,0.6
williams,5,4.4,20.00%,13.64%,0:02:07,2.8
women basketbal,5,3,60.00%,6.67%,0:00:23,2
11/11/88,4,5.75,25.00%,21.74%,0:02:07,0
2/1/89,4,1,0.00%,100.00%,0:00:37,0.25
2001,4,6.5,25.00%,26.92%,0:12:50,4.75
6/9/03,4,2,0.00%,37.50%,0:03:08,0.75
12/21/11,4,2.75,25.00%,45.45%,0:13:43,0.75
20131219_ChoirScans/data/originals/posters,4,2,25.00%,37.50%,0:00:40,0.25
bell field,4,6.25,0.00%,24.00%,0:08:49,7.25
campus map,4,3.5,25.00%,14.29%,0:01:03,0.75
commencement,4,16.75,25.00%,0.00%,0:11:34,13.75
deane barbour,4,1,100.00%,0.00%,0:00:00,0
druids,4,2.5,0.00%,20.00%,0:07:05,1.25
faculty club,4,2.75,100.00%,0.00%,0:00:24,0
frisbee,4,3.5,0.00%,14.29%,0:03:52,3.25
gym,4,12.25,0.00%,6.12%,0:41:39,9.75
horse,4,2.75,25.00%,18.18%,0:01:10,1.75
isabella watson,4,5.25,0.00%,9.52%,0:06:34,9.25
jarchow,4,3.75,0.00%,33.33%,0:15:16,1.5
john schott,4,1.5,75.00%,0.00%,0:00:05,0.25
knights,4,2.5,25.00%,40.00%,0:02:53,0.75
little nourse,4,5.5,0.00%,9.09%,0:09:11,3.5
lonnes,4,4.5,50.00%,0.00%,0:24:57,3.5
map,4,2.75,25.00%,27.27%,0:05:01,1.25
miscellany,4,4.5,25.00%,16.67%,0:06:38,2.25
music,4,4.5,25.00%,11.11%,0:02:08,1.25
musser hall,4,4.5,25.00%,16.67%,0:01:41,1.25
Nordic,4,1.5,0.00%,16.67%,0:01:30,1.5
oscar,4,2.75,0.00%,45.45%,0:00:27,0.5
plays,4,4.75,0.00%,21.05%,0:01:28,3
postcards,4,2.5,25.00%,30.00%,0:09:53,0.25
race,4,2.25,25.00%,44.44%,0:01:28,0.75
Rotblatt,4,8.25,75.00%,6.06%,0:01:28,1
scrapbooks,4,2.25,50.00%,22.22%,0:02:50,0
Series 5,4,1,100.00%,0.00%,0:00:00,0
Skinner,4,2,100.00%,0.00%,0:00:10,0
tennis,4,2,0.00%,50.00%,0:00:47,0.5
the carleton story,4,2.5,75.00%,20.00%,0:00:23,0.25
theatre,4,2.25,25.00%,33.33%,0:00:45,0.5
tug of war,4,4,25.00%,0.00%,0:01:07,3.75
tunnels,4,2.25,0.00%,22.22%,0:04:16,1.5
Veblen,4,2.25,100.00%,0.00%,0:00:29,0
weitz,4,2,25.00%,25.00%,0:02:07,2.5
women soccer,4,11,0.00%,6.82%,0:17:53,13
women's cross country,4,5.25,75.00%,0.00%,0:03:04,3
1971,3,2.33,66.67%,14.29%,0:08:22,11.67
5/12/88,3,3,0.00%,44.44%,0:06:59,0
11/4/88,3,3,0.00%,33.33%,0:00:56,0
6/22/15,3,2,33.33%,16.67%,0:11:02,2
2015-07,3,2.33,33.33%,14.29%,0:04:09,2.33
2/3/16,3,3.67,0.00%,45.45%,0:07:44,1.33
3/22/16,3,1.33,100.00%,0.00%,0:00:01,0
aerial,3,10.67,33.33%,3.12%,0:13:51,17
bald spot,3,2.33,33.33%,14.29%,0:00:29,0.67
bardwell smith,3,5,0.00%,20.00%,0:06:07,2
bob will,3,1.67,0.00%,80.00%,0:04:59,0
bouncing,3,4,0.00%,25.00%,0:01:04,3
buckminster,3,1.33,100.00%,0.00%,0:00:04,0
burton hall,3,2.67,0.00%,37.50%,0:01:46,1
calendar,3,3.33,33.33%,30.00%,0:05:29,0
CANOE,3,3.67,0.00%,36.36%,0:07:26,0
CANOE house,3,2.67,33.33%,37.50%,0:00:21,0
choir,3,11.67,0.00%,5.71%,0:10:10,4.33
computing,3,2.33,33.33%,14.29%,0:00:36,0.67
dacie moses,3,2.67,0.00%,37.50%,0:25:57,7.67
davis hall,3,3.33,0.00%,40.00%,0:03:06,1.67
