Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
arboretum,24,4.21,58.33%,7.92%,00:03:02,0.75
comps,22,1.95,50.00%,18.60%,00:03:08,0.86
transcripts,22,2.32,40.91%,21.57%,00:08:21,2.27
publications,18,2.61,22.22%,4.26%,00:02:18,2.67
laird,14,3.86,35.71%,11.11%,00:02:46,1.21
Women Cabin,14,2.57,85.71%,0.00%,00:00:34,0.50
may fete,13,4.69,38.46%,9.84%,00:10:02,4.00
zoobook,12,2.33,66.67%,17.86%,00:01:45,0.42
carletonian,11,2.09,54.55%,13.04%,00:06:14,1.55
chapel,11,2.36,9.09%,50.00%,00:08:38,0.64
farm,11,4.09,18.18%,20.00%,00:03:06,2.36
harden,11,1.18,100.00%,0.00%,00:00:05,0.00
willis,11,9.27,45.45%,0.98%,00:06:14,8.55
catalog,10,1.80,40.00%,44.44%,00:03:35,0.40
transcript,10,2.30,90.00%,4.35%,00:04:18,0.20
arb,9,4.44,22.22%,12.50%,00:03:46,4.56
barry casper,9,2.33,33.33%,33.33%,00:11:04,0.44
computer science,9,2.56,33.33%,21.74%,00:01:36,0.89
library,9,4.78,22.22%,13.95%,00:04:20,3.00
mai fete,9,2.56,0.00%,34.78%,00:03:46,1.33
sports,9,1.67,22.22%,53.33%,00:07:10,1.00
voice,9,1.67,66.67%,20.00%,00:03:37,0.22
basketball,8,3.62,12.50%,20.69%,00:05:36,2.88
computer,8,5.88,25.00%,14.89%,00:11:16,8.38
dining,8,6.00,12.50%,12.50%,00:19:38,12.00
goodhue,8,4.00,37.50%,12.50%,00:14:18,0.88
goodsell,8,6.12,37.50%,4.08%,00:09:56,4.75
schiller,8,2.25,37.50%,16.67%,00:04:27,1.25
algol,7,1.71,14.29%,41.67%,00:02:54,2.71
clap,7,2.14,57.14%,20.00%,00:01:56,0.29
deane barbour,7,1.29,100.00%,0.00%,00:00:26,0.00
laird stadium,7,3.57,14.29%,20.00%,00:04:59,2.71
phi beta kappa,7,3.71,14.29%,15.38%,00:12:24,4.86
raymond nicholson,7,2.00,71.43%,14.29%,00:04:16,1.14
reunion,7,2.00,14.29%,50.00%,00:03:00,1.43
sayles,7,5.43,14.29%,5.26%,00:09:42,5.29
sivaslian,7,4.00,42.86%,21.43%,00:12:38,2.29
skinner,7,2.29,28.57%,31.25%,00:01:58,2.86
wayne carver,7,3.86,42.86%,3.70%,00:05:38,3.57
wellstone,7,2.71,57.14%,10.53%,00:05:14,1.86
Wellstone,7,2.57,85.71%,0.00%,00:04:42,1.00
women's league cabin,7,5.86,28.57%,7.32%,00:10:16,4.00
2015-04,6,2.50,16.67%,40.00%,00:06:43,1.50
68014,6,1.67,66.67%,10.00%,00:01:48,0.17
annual report,6,2.50,16.67%,26.67%,00:03:49,2.00
chaplain,6,4.50,33.33%,14.81%,00:05:11,0.67
commencement,6,3.17,16.67%,10.53%,00:06:17,7.00
eliet,6,2.33,16.67%,28.57%,00:09:36,3.17
gridley,6,8.50,0.00%,3.92%,00:14:52,13.83
lyman lakes,6,4.33,50.00%,7.69%,00:01:13,1.83
nason,6,1.67,50.00%,20.00%,00:05:46,0.50
news releases,6,2.17,50.00%,7.69%,00:02:06,2.17
nutting,6,3.33,66.67%,10.00%,00:07:48,1.00
observatory,6,4.00,0.00%,16.67%,00:12:14,12.33
off campus studies,6,2.83,0.00%,47.06%,00:10:56,4.00
old observatory,6,4.00,0.00%,33.33%,00:01:52,1.33
radical research,6,2.00,83.33%,8.33%,00:00:39,0.00
scoville,6,9.33,33.33%,10.71%,00:08:11,5.17
atherton bean,5,3.20,20.00%,18.75%,00:15:49,7.00
catherine boyd,5,1.80,40.00%,22.22%,00:04:58,3.80
comput,5,2.00,60.00%,0.00%,00:00:39,1.60
dacie moses,5,1.80,40.00%,33.33%,00:01:00,0.20
ebony,5,5.60,40.00%,3.57%,00:14:07,11.00
Ebony,5,6.40,60.00%,3.12%,00:05:07,9.80
erling larsen,5,1.60,0.00%,50.00%,00:10:17,2.00
exhibit,5,3.00,20.00%,26.67%,00:05:58,0.80
laird field,5,5.40,20.00%,7.41%,00:01:15,3.80
laird grandstand,5,2.20,0.00%,45.45%,00:00:48,0.60
laird hall,5,5.00,20.00%,12.00%,00:02:01,1.60
manuscript,5,1.80,80.00%,11.11%,00:02:20,0.20
oral history,5,3.60,0.00%,16.67%,00:11:16,1.60
protest,5,1.20,60.00%,33.33%,00:00:24,0.20
seccombe,5,3.20,0.00%,12.50%,00:04:55,2.80
stadium,5,2.20,40.00%,18.18%,00:00:46,1.60
swimming,5,2.00,40.00%,0.00%,00:02:05,2.00
tunnel,5,3.80,40.00%,5.26%,00:13:18,8.20
12661,4,1.75,25.00%,57.14%,00:02:54,0.25
20130812_2_Series8eStork Arboretum,4,3.75,0.00%,26.67%,00:06:55,11.25
2015-03,4,1.50,50.00%,33.33%,00:00:56,0.00
20150213_1965reunionPrep,4,5.25,75.00%,4.76%,00:18:57,1.50
alumni,4,2.75,50.00%,18.18%,00:01:14,0.25
american house,4,5.00,50.00%,5.00%,00:01:32,1.75
annual reports,4,2.25,0.00%,44.44%,00:05:30,0.00
army,4,3.00,0.00%,16.67%,00:05:21,3.00
bardwell smith,4,2.75,0.00%,27.27%,00:03:07,0.75
black at carleton,4,1.50,50.00%,33.33%,00:05:03,0.75
boliou,4,3.25,0.00%,38.46%,00:11:26,3.25
calendar,4,2.50,25.00%,30.00%,00:00:51,0.00
carleton japan,4,2.25,75.00%,11.11%,00:08:18,0.00
Church northfield,4,2.50,50.00%,0.00%,00:01:50,1.50
class profile,4,1.75,25.00%,42.86%,00:00:17,0.00
Dacie Moses,4,4.00,0.00%,12.50%,00:03:17,3.25
Deane barbour,4,2.25,75.00%,0.00%,00:01:23,0.25
