Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
executive committee minutes,1,7,0.00%,14.29%,0:11:17,3
Urban Economist,1,1,0.00%,100.00%,0:01:24,0
" Alumni Convocation, President Stephen R. Lewis, et. al. 2: Carleton Professor Bill Woehrlin 3: Class of 67 Panel 4: Anthony Downs 5: Alumni Memoria",1,1,0.00%,100.00%,0:01:20,0
"Ceremony 2: Masire Citation, Award, Response",2,1,0.00%,100.00%,0:04:01,0
"Ceremony 2: Masire Citation, Award, Response",1,1,0.00%,100.00%,0:00:07,0
"Common Reading Convocation 2: '46 Panel: 'Hey Folks, It Ain't Over Yet!: -Serving the Future' 3: 'Earth Day 25 Years Later: What have we learned?'",1,1,0.00%,100.00%,0:00:42,0
"Common Reading Convocation 2: Heywood Society Luncheon 3: Class of '49 panel: 'Looking Forward...' 4: 'Social Justice', class of '74 panel 5: 'Repo",1,1,0.00%,100.00%,0:00:22,0
"Common Reading Convocation 2: Heywood Society Luncheon 3: Class of '49 panel: 'Looking Forward...' 4: 'Social Justice', class of '74 panel 5: 'Repo",1,1,0.00%,100.00%,0:00:08,0
"Common Reading Convocation 2: Heywood Society Luncheon 3: Class of '49 panel: 'Looking Forward...' 4: 'Social Justice', class of '74 panel 5: 'Repo",1,1,0.00%,100.00%,0:00:07,0
"Memorial Chapel Service 2: Alumni Convocation 2a: Announcement of Heywood society 2b: Carleton's Alma Mater (with Stephen R. Lewis, Jr.) 3: Robert",1,1,0.00%,100.00%,0:01:07,0
Remarks and Addresses 2: Wayne C. Booth 3: Robert B. Bergman '63 4: Bergman and Booth 5: Commencement (Less individual BA's),1,1,100.00%,0.00%,0:00:00,0
State of the College Panel 2: AAF Breakout Session,1,1,0.00%,100.00%,0:01:19,0
The Carleton multicultural experience through the decades' 2: 'Careers after Carleton' 3: Supper and Reminiscences' 4: Chapel Service 3: Fred East,1,1,0.00%,100.00%,0:00:38,0
The Schiller Exchange 2: 1996 Senior Class Video,2,2,0.00%,50.00%,0:01:50,2
Numeric,1,1,0.00%,100.00%,0:00:40,0
wheaton,1,1,0.00%,100.00%,0:00:28,0
1925 October,1,1,0.00%,100.00%,0:00:13,0
1925 October,1,1,100.00%,0.00%,0:00:00,0
carleton alumni,1,1,0.00%,100.00%,0:24:11,10
choir,1,2,0.00%,50.00%,0:26:55,9
yearbook,1,1,100.00%,0.00%,0:00:00,0
 yearbook photographs,1,1,0.00%,100.00%,0:00:18,0
Algol,1,2,0.00%,50.00%,0:01:47,0
Algol,1,1,0.00%,100.00%,0:03:51,0
move,1,1,0.00%,100.00%,0:00:10,0
celebration,1,4,0.00%,50.00%,0:01:10,0
 ling,1,2,0.00%,50.00%,0:01:15,2
 common reading,1,1,0.00%,100.00%,0:00:35,1
21st century,1,1,0.00%,100.00%,0:00:43,0
3rd Musser,1,3,0.00%,33.33%,0:00:56,4
'52 Panel: Education,1,1,0.00%,100.00%,0:05:41,0
'67 Panel: Medicare,1,1,0.00%,100.00%,0:00:16,0
99 day march,1,3,0.00%,33.33%,0:00:19,0
A Conversation with Bardwell Smith,1,1,0.00%,100.00%,0:20:12,0
Bad Input,1,1,100.00%,0.00%,0:00:00,0
A syndicated columnist and editorial page writer for The Washington Post and adjunct professor at Georgetown University Law Center Colman McCarthy,1,1,0.00%,100.00%,0:04:45,0
55 Discussion,1,1,0.00%,100.00%,0:24:08,0
55 Discussion 'Our Silent Generation' b: Heywood Society Luncheon c: '50 Panel 'Journey into the Future' d: 'Politicians Portrayed' e: Alumni Conv,1,1,0.00%,100.00%,0:00:09,0
aaa tom lamb,1,2,0.00%,50.00%,0:07:24,0
aaf alumni,1,1,0.00%,100.00%,0:00:10,0
aaf alumni,1,1,0.00%,100.00%,0:00:13,0
aaf alumni,1,1,0.00%,100.00%,0:00:22,0
abby easton,1,1,0.00%,100.00%,0:00:09,0
ABBY FURNESS,1,1,0.00%,100.00%,0:03:25,0
ABC,3,2.33,33.33%,0.00%,0:01:40,2.33
ABC,1,5,100.00%,0.00%,0:02:18,1
ABC,1,5,0.00%,40.00%,0:11:39,6
ABC,1,1,0.00%,100.00%,0:02:33,0
ABC,2,1.5,50.00%,33.33%,0:04:24,0
abigail easton,1,1,0.00%,100.00%,0:01:50,0
abigail easton,1,1,0.00%,100.00%,0:00:04,0
abigail furniss,1,1,0.00%,100.00%,0:00:20,0
about,1,2,0.00%,50.00%,0:21:31,1
abrams,1,3,0.00%,66.67%,0:05:28,0
academic catalog,1,2,100.00%,0.00%,0:00:12,0
academic catalog,1,5,0.00%,20.00%,0:02:39,1
academic planner,1,2,0.00%,50.00%,0:00:29,0
academic standing committee,1,3,0.00%,66.67%,0:53:02,11
academic support center,1,4,0.00%,25.00%,0:05:35,3
accession,1,2,100.00%,0.00%,0:00:09,0
accreditation,2,1.5,0.00%,66.67%,0:00:34,0
ackerman,1,3,0.00%,33.33%,0:01:32,0
acm,1,1,0.00%,100.00%,0:00:29,0
acm india,2,2,50.00%,0.00%,0:04:34,8
act,1,3,0.00%,33.33%,0:00:32,1
acting in the community together,1,3,0.00%,33.33%,0:00:46,2
ada deer,1,1,0.00%,100.00%,0:00:55,0
ada mae harrison,1,1,0.00%,0.00%,0:01:05,2
ada posey,1,2,0.00%,50.00%,0:03:47,0
Adapting K-Medians to Generate Normalized Cluster Centers Benjamin J. Anderson,1,1,100.00%,0.00%,0:00:00,0
Adapting K-Medians to Generate Normalized Cluster Centers Benjamin J. Anderson,1,2,0.00%,50.00%,0:03:01,1
"Address by Chief Justice of the Minnesota Supreme CourtA.M. (Sandy) Keith Participating: Davis, Lewis, McKinstry, Bonner, Adams",1,1,0.00%,100.00%,0:00:30,0
"Address by Dr. Cornel West, Princeton University; Participating: Chaplain Jewellnel Davis, President Stephen R. Lewis Jr., Dean Robert Bonner, Dean El",1,1,0.00%,100.00%,0:05:01,0
addresses occupations,1,1,0.00%,100.00%,0:00:18,0
"Administration, Faculty, Alum Panel",1,1,0.00%,100.00%,0:02:42,0
admissions,1,5,0.00%,60.00%,0:05:47,0
admissions,1,4,0.00%,25.00%,0:00:47,0
Admissions Publications,1,2,100.00%,0.00%,0:00:13,0
Admissions Publications,1,2,0.00%,0.00%,0:01:27,1
adrien,1,2,0.00%,50.00%,0:01:51,0
advanced degree,1,1,0.00%,100.00%,0:06:34,1
aerial,2,2,50.00%,25.00%,0:02:28,1
aerial,1,5,0.00%,0.00%,0:09:16,6
aerial,1,4,100.00%,0.00%,0:00:18,1
aerial,1,1,0.00%,100.00%,0:00:20,0
aerial,1,1,0.00%,100.00%,0:00:17,0
affairs proposal,1,3,0.00%,33.33%,0:00:22,0
affairs proposal,1,1,0.00%,100.00%,0:00:08,0
affairs proposal,1,1,0.00%,100.00%,0:00:03,0
affording,1,1,0.00%,100.00%,0:00:20,0
agriculture,2,1,50.00%,50.00%,0:01:47,0
Air force,1,2,0.00%,50.00%,0:01:08,2
Air force,1,2,0.00%,0.00%,0:00:26,1
airport,1,3,100.00%,0.00%,0:00:31,0
akita,1,1,0.00%,100.00%,0:00:46,1
akiyama,1,5,0.00%,20.00%,0:01:24,0
Al Tinnin,2,2.5,50.00%,20.00%,0:15:12,2
Al Tinnin,2,1,50.00%,50.00%,0:02:03,0.5
Al Tinnin,2,1,0.00%,100.00%,0:06:51,0.5
alan cutler '75,1,1,0.00%,100.00%,0:01:51,0
albert hoppe,1,1,100.00%,0.00%,0:00:00,0
alcoholics anonymous,1,1,0.00%,100.00%,0:00:11,0
alcoholics anonymous,1,1,0.00%,100.00%,0:00:27,0
alden howe,1,1,100.00%,0.00%,0:00:00,0
alford,1,3,100.00%,0.00%,0:01:56,0
Alfred L. Alley,1,2,0.00%,0.00%,0:03:20,3
Algol,7,1.71,14.29%,41.67%,0:02:54,2.71
Algol,1,3,0.00%,33.33%,0:00:28,0
Algol,1,3,0.00%,0.00%,0:00:36,1
algol affair,1,1,0.00%,100.00%,0:00:24,0
alice autograph,1,6,100.00%,0.00%,0:01:31,1
Alice F. Smith,1,2,100.00%,0.00%,0:00:35,0
alice hills,1,1,100.00%,0.00%,0:00:00,0
alice lowe,1,2,0.00%,50.00%,0:09:58,1
alicia donald,1,4,0.00%,25.00%,0:05:09,25
All Campus Conversation: Violence in American Society,1,1,0.00%,100.00%,0:00:39,0
Allen G. Burgoyne,1,4,0.00%,25.00%,0:04:12,6
Allen Memorial Hospital,1,4,0.00%,25.00%,0:01:19,2
alpha beta phi,1,1,0.00%,100.00%,0:00:09,0
alpha beta phi,1,10,0.00%,10.00%,0:15:02,26
Alternating Sign Matrices,1,1,100.00%,0.00%,0:00:00,0
althea benton,1,6,0.00%,33.33%,0:04:04,0
Alton hall,1,3,100.00%,0.00%,0:00:57,0
alumni,4,2.75,50.00%,18.18%,0:01:14,0.25
alumni annual,1,1,0.00%,100.00%,0:00:20,0
Alumni Annual Fund Stewardship Weekend,1,1,0.00%,100.00%,0:01:29,0
alumni association,1,2,0.00%,50.00%,0:07:48,5
alumni association,1,2,0.00%,50.00%,0:28:09,6
alumni council,1,3,0.00%,0.00%,0:27:15,6
alumni council,1,1,0.00%,100.00%,0:00:25,0
alumni magazine,2,3.5,50.00%,28.57%,0:00:41,0
Alumni Memorial Chapel Service,1,2,0.00%,50.00%,0:00:48,0
alumni office,1,3,0.00%,33.33%,0:03:17,0
alumni office,1,2,100.00%,0.00%,0:00:07,0
alumni office,1,1,0.00%,100.00%,0:00:12,0
alumni president,1,1,0.00%,100.00%,0:00:17,0
alumni production,1,2,0.00%,50.00%,0:01:37,0
Alumni Remembrance Chapel Service,2,1,0.00%,100.00%,0:01:40,0
