# ----------------------------------------
"# Carleton College Archives, filtered"
# Audience Overview
# 20150905-20151130
# ----------------------------------------

Day Index,Sessions
9/5/15,0
9/6/15,6
9/7/15,6
9/8/15,9
9/9/15,14
9/10/15,12
9/11/15,7
9/12/15,3
9/13/15,2
9/14/15,10
9/15/15,6
9/16/15,9
9/17/15,17
9/18/15,3
9/19/15,2
9/20/15,2
9/21/15,2
9/22/15,5
9/23/15,6
9/24/15,6
9/25/15,5
9/26/15,1
9/27/15,12
9/28/15,7
9/29/15,7
9/30/15,5
10/1/15,10
10/2/15,5
10/3/15,1
10/4/15,6
10/5/15,20
10/6/15,18
10/7/15,7
10/8/15,10
10/9/15,0
10/10/15,5
10/11/15,5
10/12/15,8
10/13/15,20
10/14/15,9
10/15/15,4
10/16/15,2
10/17/15,1
10/18/15,1
10/19/15,8
10/20/15,10
10/21/15,6
10/22/15,7
10/23/15,0
10/24/15,3
10/25/15,4
10/26/15,12
10/27/15,8
10/28/15,11
10/29/15,14
10/30/15,0
10/31/15,2
11/1/15,3
11/2/15,5
11/3/15,5
11/4/15,3
11/5/15,8
11/6/15,4
11/7/15,3
11/8/15,4
11/9/15,13
11/10/15,10
11/11/15,14
11/12/15,10
11/13/15,12
11/14/15,3
11/15/15,8
11/16/15,9
11/17/15,11
11/18/15,8
11/19/15,6
11/20/15,6
11/21/15,2
11/22/15,7
11/23/15,4
11/24/15,8
11/25/15,3
11/26/15,6
11/27/15,6
11/28/15,1
11/29/15,5
11/30/15,6
,574

