Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
Arboretum,51,5.98,64.71%,4.59%,0:04:53,2.22
Comps,17,1.94,58.82%,15.15%,0:03:45,0.53
Mai fete,16,4.81,37.50%,7.79%,0:09:47,4.31
transcript,16,2.5,25.00%,27.50%,0:09:35,2.75
Library,15,6.4,20.00%,10.42%,0:05:45,4.87
Goodhue,14,3.57,28.57%,12.00%,0:10:59,2.71
women's cabin,14,2.57,85.71%,0.00%,0:00:34,0.5
Bad Input,12,2.83,16.67%,20.59%,0:02:53,4.08
Farm,12,4,25.00%,16.67%,0:02:38,1.92
Laird,12,5,41.67%,6.67%,0:03:13,2.17
harden,11,1.18,100.00%,0.00%,0:00:05,0
Wayne Carver,11,3.55,36.36%,10.26%,0:05:28,2.73
Paul Wellstone,11,2,90.91%,0.00%,0:02:59,0.64
Carletonian,10,2.2,50.00%,18.18%,0:05:06,2.5
Willis,10,10,50.00%,1.00%,0:06:35,8.9
bridge,9,5.89,33.33%,13.21%,0:09:18,5.44
computer,9,6.22,11.11%,16.07%,0:12:57,8.89
computer science,9,2.56,33.33%,21.74%,0:01:36,0.89
Goodsell,9,5.22,22.22%,6.38%,0:05:07,4.44
Schiller,9,2.78,22.22%,16.00%,0:04:44,1.67
Bad Input,8,12.12,50.00%,0.00%,0:15:48,10.62
Catalogue,8,2.25,62.50%,22.22%,0:04:58,0
course catalogue,8,3,87.50%,4.17%,0:01:18,1.38
Deane barbour,8,1.25,100.00%,0.00%,0:00:23,0
dining,8,6,12.50%,12.50%,0:19:38,12
erling larsen,8,1.62,25.00%,30.77%,0:10:03,2
Lyman Lakes,8,4.5,62.50%,0.00%,0:03:45,2.5
publications,8,1.88,12.50%,13.33%,0:02:16,3.12
Scoville,8,7.25,37.50%,10.34%,0:06:41,4.25
voice,8,1.62,75.00%,15.38%,0:02:54,0.25
Numeric,7,3.86,14.29%,29.63%,0:05:59,1.29
Gridley,7,7.71,0.00%,5.56%,0:12:55,12
Laird Stadium,7,4.29,14.29%,10.00%,0:06:22,3.43
musser,7,7.57,42.86%,7.55%,0:11:11,8.71
New Student Week,7,2.29,14.29%,25.00%,0:06:43,1.43
play,7,13,14.29%,8.79%,0:16:40,14.43
transcript,7,2.43,71.43%,5.88%,0:06:06,0.43
zoobook,7,3.14,57.14%,18.18%,0:02:06,0.71
Numeric,6,2.5,33.33%,33.33%,0:04:38,0.17
Numeric,6,1.67,66.67%,10.00%,0:01:48,0.17
Bardwell Smith,6,3,0.00%,27.78%,0:02:46,1.33
CLAP,6,2.17,50.00%,23.08%,0:01:17,0.33
Dacie Moses,6,2,33.33%,33.33%,0:04:53,0.17
eliet,6,2.33,16.67%,28.57%,0:09:36,3.17
Faculty Club,6,3,66.67%,11.11%,0:04:53,2.5
homecoming,6,7,16.67%,7.14%,0:06:55,3.83
Mai fete,6,2.33,0.00%,35.71%,0:04:49,1.5
observatory,6,4,0.00%,33.33%,0:01:52,1.33
oral history,6,3.17,16.67%,15.79%,0:09:27,1.67
phi beta kappa,6,3.5,0.00%,19.05%,0:14:20,5.67
radical research,6,2,83.33%,8.33%,0:00:39,0
Sayles-Hill,6,5.83,16.67%,2.86%,0:09:44,5.67
Skinner,6,2.5,33.33%,26.67%,0:02:13,3.33
swimming,6,1.83,50.00%,0.00%,0:01:44,1.67
West Gym,6,4,33.33%,8.33%,0:01:27,1.17
Women's League Cabin,6,6.33,33.33%,5.26%,0:10:36,4.67
Numeric,5,2,40.00%,50.00%,0:02:01,0
Algol,5,1.8,20.00%,33.33%,0:03:53,3.4
annual report,5,2.2,0.00%,36.36%,0:04:43,1.6
campus,5,2,0.00%,40.00%,0:03:24,1.2
catherine boyd,5,1.8,40.00%,22.22%,0:04:58,3.8
