New ID,OLD ID Number,Title,Description,Architect,Date,Type,Notes
1-21,1,Library Renovation,Phase 1A General Information,"Meyer, Scherer & Rockcastle Ltd.",2002-03-29,Drawing,
1-21,2,Library Renovation,Phase 1A Existing First Level Plan,"Meyer, Scherer & Rockcastle Ltd.",2002-04-01,Drawing,
1-21,3,Library Renovation,Phase 1A Existing Second Level Plan,"Meyer, Scherer & Rockcastle Ltd.",2002-03-31,Drawing,
1-21,4,Library Renovation,Phase 1A Existing Third Level Plan,"Meyer, Scherer & Rockcastle Ltd.",2002-04-01,Drawing,
1-21,5,Library Renovation,Phase 1A Existing Fourth Level Plan,"Meyer, Scherer & Rockcastle Ltd.",2002-03-31,Drawing,
1-21,6,Library Renovation,Phase 1A First Level Reflected Ceiling Plan,"Meyer, Scherer & Rockcastle Ltd.",2002-04-01,Drawing,
1-21,7,Library Renovation,Phase 1A Second Level Reflected Ceiling Plan,"Meyer, Scherer & Rockcastle Ltd.",2002-04-01,Drawing,
1-21,8,Library Renovation,Phase 1A Third Level Reflected Ceiling Plan,"Meyer, Scherer & Rockcastle Ltd.",2002-04-01,Drawing,
1-21,9,Library Renovation,Phase 1A Third Level Reflected Ceiling Plan,"Meyer, Scherer & Rockcastle Ltd.",2002-04-01,Drawing,
1-21,10,Library Renovation,"Phase 1A First Level Elevations + Sections, Section A-A', Section B-B'","Meyer, Scherer & Rockcastle Ltd.",2002-04-01,Drawing,
1-21,11,Library Renovation,Phase 1A Third Level Elections + Sections,"Meyer, Scherer & Rockcastle Ltd.",2002-04-01,Drawing,
1-21,12,Library Renovation,Phase 1A Enlarged First Level Plan Rm 170,"Meyer, Scherer & Rockcastle Ltd.",2002-04-01,Drawing,
1-21,13,Library Renovation,Phase 1A Enlarged First Level Plan Rm 152,"Meyer, Scherer & Rockcastle Ltd.",2002-03-31,Drawing,
1-21,14,Library Renovation,Phase 1A Enlarged Second Level Plan,"Meyer, Scherer & Rockcastle Ltd.",2002-03-31,Drawing,
1-21,15,Library Renovation,Phase 1A Enlarged Third Level Plan New Classroom 306,"Meyer, Scherer & Rockcastle Ltd.",2002-04-01,Drawing,
1-21,16,Library Renovation,"Phase 1A Enlarged Third Level Plan, Rm 353, Rm 354","Meyer, Scherer & Rockcastle Ltd.",2002-03-31,Drawing,
1-21,17,Library Renovation,Phase 1A Enlarged Fourth Level Plan,"Meyer, Scherer & Rockcastle Ltd.",2002-03-31,Drawing,
1-21,18,Library Renovation,Third Level Plan-Phasing Diagram,"Meyer, Scherer & Rockcastle Ltd.",1/14/2002; 2/12/2003,Drawing,
1-21,19,Library Renovation,Second Level Plan-Phasing Diagram,"Meyer, Scherer & Rockcastle Ltd.",1/14/2002; 2/12/2003,Drawing,
1-21,20,Library Renovation,First Level Plan-Phasing Diagram,"Meyer, Scherer & Rockcastle Ltd.",1/14/2002; 2/12/2003,Drawing,
1-21,21,Library Renovation,Fourth Level Plan-Phasing Diagram,"Meyer, Scherer & Rockcastle Ltd.",1/14/2002; 2/12/2003,Drawing,
22-41,22,Student Residence West Building,"Door Schedule, Unit Door Schedule",LHB Corp.,2008-05-12,List,
22-41,23,Student Residence West Building,First Floor Plan,LHB Corp.,,Drawing,"excel changed these dates - I think it was 2008, it says on the drawing"
22-41,24,Student Residence West Building,Second & Third Floor Plans,LHB Corp.,,Drawing,"excel changed these dates - I think it was 2008, it says on the drawing"
22-41,25,Student Residence West Building,Fourth Floor Plan,LHB Corp.,,Drawing,"excel changed these dates - I think it was 2008, it says on the drawing"
22-41,26,Student Residence West Building,Basement Plan,LHB Corp.,,Drawing,"excel changed these dates - I think it was 2008, it says on the drawing"
22-41,27,Student Residence West Building,Building & Tunnel Finish Schedule,LHB Corp.,2008-05-15,List,
22-41,28,Student Residence East Building,Door Schedule,LHB Corp.,2008-03-06,List,
22-41,29,Student Residence East Building,First Floor Plan,LHB Corp.,,Drawing,"excel changed these dates - I think it was 2008, it says on the drawing"
22-41,30,Student Residence East Building,Second & Third Floor Plans,LHB Corp.,,Drawing,"excel changed these dates - I think it was 2008, it says on the drawing"
22-41,31,Student Residence East Building,Fourth Floor Plan,LHB Corp.,2008-05-09,Drawing,
22-41,32,Student Residence East Building,Finish Schedule,LHB Corp.,2008-05-15,List,
22-41,33,Cassat Hall and Memorial Hall,Signage Schedule,LHB Corp.,2008-04-25,List,
22-41,34,"Student Residence West Building, Memorial Hall",Basement Plan,LHB Corp.,2008-01-08,Drawing,
22-41,35,Student Residence West Building (Memorial Hall),First Floor Plan,LHB Corp.,2008-01-08,Drawing,
22-41,36,Student Residence West Building (Memorial Hall),Second & Third Floor Plans,LHB Corp.,2008-01-09,Drawing,
22-41,37,Student Residence West Building (Memorial Hall),Fourth Floor Plan,LHB Corp.,2008-01-09,Drawing,
22-41,38,"Student Residence East Building, Cassat Hall",Basement Plan,LHB Corp.,2008-01-08,Drawing,
22-41,39,Student Residence East Building (Cassat Hall),First Floor Plan,LHB Corp.,2008-01-08,Drawing,
22-41,40,Student Residence East Building (Cassat Hall),Second & Third Floor Plans,LHB Corp.,2008-01-09,Drawing,
22-41,41,Student Residence East Building (Cassat Hall),Fourth Floor Plan,LHB Corp.,2008-05-09,Drawing,
42-45,42,Faculty Club,First Floor Plan Fire Alarm System,"Red Wing Service Co., Inc.",1996-05-20,Drawing,
42-45,43,Faculty Club,Second Floor Plan Fire Alarm System,"Red Wing Service Co., Inc.",1996-05-20,Drawing,
42-45,44,Faculty Club,Attic Floor Plan Fire Alarm System,"Red Wing Service Co., Inc.",1996-05-20,Drawing,
42-45,45,Faculty Club,Annex Floor Plan Fire Alarm System,"Red Wing Service Co., Inc.",1996-05-20,Drawing,
46-65,46,Veblen Farmstead,Site Plan,Sovik Mathre Sathrum Quanbeck Schlink Architects,12/9/1992; 3/10/1993; 4/23/1993,Drawing,
46-65,47,Veblen Farmstead,"1875 Era Plan Layout, Basement Plan, Attic Floor Plan",Sovik Mathre Sathrum Quanbeck Schlink Architects,1993-03-10,Drawing,
46-65,48,Veblen Farmstead,"1875 Era Plan Layout, First Floor Plan, Second Floor Plan",Sovik Mathre Sathrum Quanbeck Schlink Architects,1993-02-08,Drawing,
46-65,49,Veblen Farmstead,"House Restoration, House Site",Sovik Mathre Sathrum Quanbeck Schlink Architects,9/28/1992; 3/10/1993,Drawing,
46-65,50,Veblen Farmstead,"House Restoration, Basement and Fdn Plan, Sections, Basement Mechanical & Electrical Plan",Sovik Mathre Sathrum Quanbeck Schlink Architects,10/19/1993; 10/20/1993,Drawing,
