ID	CollectionID	LevelContainerID	LevelContainerIdentifier	Title	PrivateTitle	Date	Description	RootContentID	ParentID	ContainsContent	SortOrder	Enabled	dateadded
12685	50	3	0	Single Photo Groupings		1991/92		7224	7389	1	1	1	
12686	50	5	.000/1	Willard Tuomi Retirement		1991/92	Willard Tuomi Retirement	7224	12685	0	1	1	
12687	50	5	.000/2	Margaret Drabble Convocation speech as Lucas Lecturer		1991/92	Margaret Drabble Convocation speech as Lucas Lecturer	7224	12685	0	2	1	
12688	50	5	.000/3	Japanese Ambassador to the U.S. reception/dinner		1991/92	Japanese Ambassador to the U.S. reception/dinner	7224	12685	0	3	1	
12689	50	5	.000/4	Carleton Cont. Ensemble Concert		1991/92	Carleton Cont. Ensemble Concert	7224	12685	0	4	1	
12690	50	5	.000/5	Reed College Commencement		1991/92	Reed College Commencement	7224	12685	0	5	1	
12691	50	5	.000/6	Woodwind Quartet Players		1991/92	Woodwind Quartet Players	7224	12685	0	6	1	
12692	50	5	.000/7	Dante Stephenson's Jazz Club		1991/92	Dante Stephenson's Jazz Club	7224	12685	0	7	1	
12693	50	5	.000/8	Dormitory floor / House residents: 4th Watson		1991/92		7224	12685	0	8	1	
12694	50	5	.000/9	Dance		1991/92		7224	12685	0	9	1	
12695	50	5	.000/10	Frank Wright and Conley Brooks		1991/92	Frank Wright and Conley Brooks	7224	12685	0	10	1	
12696	50	5	.000/11	Head Residents		1991/92	Head Residents	7224	12685	0	11	1	
29751	50	5	.000/12	Group of Alumni		1991/92	Group of Alumni	7224	12685	0	12	1	
12698	50	5	.000/13	Math Skills Center		1991/92	Math Skills Center	7224	12685	0	13	1	
12699	50	5	.000/14	Student post office workers		1991/92	Student post office workers	7224	12685	0	14	1	
12700	50	5	.000/15	Musicians in chapel [cello and harp]		1991/92	Musicians in chapel [cello and harp]	7224	12685	0	15	1	
12701	50	5	.000/16	Carleton Knights singing at fund-raiser for victims of the Los Angeles riots		1991/92	Carleton Knights singing at fund-raiser for victims of the Los Angeles riots	7224	12685	0	16	1	
