Faculty/Staff Name,Category,Citation,Students,Journal Name,Publisher Name,Color Code,No Journals Found?,Multiple Journals Found?,PDFarchiving,PDFrestrictions,Postarchiving,Postrestrictions,Prearchiving,Prerestrictions
"Abrams, Ken",Article,"Cosci F., G. Bertoli and K. Abrams. 'Effects of nicotine withdrawal on panic-like response to breath holding: A placebo-controlled, double-blind, cross-over patch study.' Depression and Anxiety 30 (2013): 1217-1221. ",,Depression and Anxiety,Wiley,yellow,,,cannot,,restricted,"12 months embargo for scientific, technical and medicine titles; 2 years embargo for humanities and social science titles",can,
"Baylor, Marty",Article,"Baylor, M. E.; B. W. Cerjan*, R. W. Boyne, C. R. Pfeifer*, N. B. Cramer, C. N. Bowman, and R. R. McLeod.  'Monolithic integration of optical waveguide and fluidic channel structures in a Thiol-ene/Methacrylate photopolymer.'  Optical Materials Express 2  (2012): 1548-1555.",Benjamin Cerjan and Charlotte Pfeifer,Optical Materials Express,Optical Society of America,green,,,can,,can,,can,
"Bechtel, Roger",Article,"Bechtel, Roger. 'The Body of Trauma: Empathy, Mourning, and Media in Troika Ranch's  loopdiver.'  Theatre Journal  65 (1) (2013): 77-93. ",,Theatre Journal,Johns Hopkins University Press,green,,,can,,can,,can,
"Boling, Becky",Article,"Boling, Becky.  'Intertextual Uses of  Antigone and Liberation Theology: The Passion of Ana in Juan Carlos Gené's  Golpes a mi puerta.' Whose Voice Is This? Iberian and Latin American Antigones. Hispanic Issues On Line  (Fall  2013): 219-237. ",,Hispanic Issues On Line,Hispanic Issues On Line,gray,,,unknown,,unknown,,unknown,
"Bourne, Jenny",Article,"Bourne, Jenny.  'New Wine in an Old Bottle: How Minnesota's Receivership Statute Can Promote Both Efficiency and Equity.' Hamline Law Review 36 (3) (Summer 2013).",,Hamline Law Review,Hamline University,gray,,,unknown,,unknown,,unknown,
"Christensen, Nelson",Article,"Thrane, E., N. Christensen, and R. M. S. Schofield. 'Correlated magnetic noise in global networks of gravitational-wave detectors: Observations and implications.'  Physical Review D 87 (2013): 123009.",,Physical Review D,American Physical Society,green,,,can,,can,,can,
"Decker, Jason and Daniel Groll",Article,"Decker, Jason and Daniel Groll.  'The (In)significance of moral disagreement for moral knowledge.'  Oxford Studies in Metaethics 8 (2013).",,Oxford Studies in Metaethics,,,X,,,,,,,
"Demas, Sam",Article,"Demas, Sam, Amy Paster and Joy Paulson. 'Agriculture and Rural Life: a discipline or domain based approach to preservation and access.'  Against the Grain (2013): 79-81.",,Against the Grain,Against the Grain,gray,,,unknown,,unknown,,unknown,
"Gainer-Dewar, Andrew",Article,"Gainer-Dewar, Andrew. 'Γ-Species and the Enumeration of k-Trees.' The Electronic Journal of Combinatorics 19 (4) (2012): 45.",,The Electronic Journal of Combinatorics,Electronic Journal of Combinatorics,gray,,,unknown,,unknown,,unknown,
"Graves, Rich",Article,"Graves, Rich. 'Phishing Detection and Remediation.'  SANS Orlando 2013 (March 2013). ",,SANS Orlando,,,X,,,,,,,
"Gross, Deborah",Article,"Smyth, A. M.*, S. L. Thompson*, B. de Foy, M. R. Olson, N. Sager, J. McGinnis, J. J. Schauer, and D. S. Gross.  'Sources of metals and bromine-containing particles in Milwaukee.' Atmospheric Environment 73 (2013): 124 - 130, doi: 10.1016/j.atmosenv.2013.03.014.","Smyth, A. M.; Thompson, S. L.",Atmospheric Environment,Elsevier,green,,X,cannot,,can,,can,
"Gross, Deborah",Article,"Huang, Y., L. Li, J. Li, S. Wang, H. Chen, J. Chen, X. Yang, D. S. Gross, H. Wang, L. Qiao, and C. Chen.  'A case study of the highly time-resolved evolution of aerosol chemical and optical properties in urban Shanghai, China. Atmos. Chem. Phys.13 (2013): 3931-3944, doi:10.5194/acp-13-3931-2013.",,Atmospheric Chemistry and Physics,European Geosciences Union,green,,,can,,can,,can,
"Gross, Deborah",Article,"Pagels, J., D. D. Dutcher, M. R. Stolzenburg,  P. H. McMurry,  M. E. Gälli, and D. S. Gross. 'Fine Particle Emissions from Solid Biofuel Combustion Studied with Single Particle Mass Spectrometry - Identification of Markers for Organics, Soot and Ash Components.'  J. Geophys. Res.118 (2012): 1-12, doi:10.1029/2012JD018389. ",,Journal of Geophysical Research: Atmospheres,American Geophysical Union,green,,,restricted,no details given,can,,can,
