Index,Journal Name,Faculty/Staff Name:,CORRECTED Complete citation as it should appear in the Celebration Booklet:,"If your work included any Carleton student authors, please list their names here:",CORRECTED Complete citation as it should appear in the Celebration Booklet:,Journal Title,,,,Publisher Name,Color Code,No Journals Found?,Multiple Journals Found?
1,Style,"Appleman, Deborah","Appleman, D. ""Response to Euclid at the Core: Recentering Literary Education.""ù Style 48 (1) (2014).",,"Appleman, D. ""Response to Euclid at the Core: Recentering Literary Education.""ù Style 48 (1) (2014).",Style,,,,Northern Illinois University,gray,,
2,Optical Materials Express,"Baylor, Marty","Kowalski, B. A., A. C. Urness, M.-E. Baylor, M. C. Cole, W. L. Wilson, and R. R. McLeod. ""Quantitative modeling of the reaction/diffusion kinetics of two-chemistry diffusive photopolymers."" Optical Materials Express4 (2014): 1668-1682.",,"Kowalski, B. A., A. C. Urness, M.-E. Baylor, M. C. Cole, W. L. Wilson, and R. R. McLeod. ""Quantitative modeling of the reaction/diffusion kinetics of two-chemistry diffusive photopolymers."" Optical Materials Express4 (2014): 1668-1682.",Optical Materials Express4,,,,Optical Society of America,green,,
3,Optics Express,"Baylor, Marty","Tadayon M. A., M.-E. Baylor, and S. Ashkenazi. ""High quality factor polymeric Fabry-Perot resonators utilizing a polymer waveguide."" Optics Express22 (2014): 5904-5912.",,"Tadayon M. A., M.-E. Baylor, and S. Ashkenazi. ""High quality factor polymeric Fabry-Perot resonators utilizing a polymer waveguide."" Optics Express22 (2014): 5904-5912.",Optics Express,,,,Optical Society of America,green,,
4,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control","Baylor, Marty","Tadayon, M. A., M. E. Baylor, and S. Ashkenazi. ""Polymer waveguide Fabry-Perot resonator for high-frequency ultrasound detection."" IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control61 (2014): 2132-2138.",,"Tadayon, M. A., M. E. Baylor, and S. Ashkenazi. ""Polymer waveguide Fabry-Perot resonator for high-frequency ultrasound detection."" IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control61 (2014): 2132-2138.","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",,,,Institute of Electrical and Electronics Engineers,green,,
5,Cinema Journal Teaching Dossier,"Beck, Jay","Beck, Jay. ""Sound Studies in a Liberal Arts Curriculum."" ùCinema Journal Teaching Dossier 2 (2)  (Spring 2014).",,"Beck, Jay. ""Sound Studies in a Liberal Arts Curriculum."" ùCinema Journal Teaching Dossier 2 (2)  (Spring 2014).",Cinema Journal Teaching Dossier ,,,,,,X,
6,Louisiana Law Review ,"Bourne, Jenny","Bourne, Jenny. ""'A Stone of Hope:' The Civil Rights Act of 1964 and Its Impact on the Economic Status of Black Americans.""  Louisiana Law Review 74 (4) (Summer 2014).",,"Bourne, Jenny. ""'A Stone of Hope:' The Civil Rights Act of 1964 and Its Impact on the Economic Status of Black Americans.""  Louisiana Law Review 74 (4) (Summer 2014).",Louisiana Law Review,,,,Louisiana State University,gray,,
7,Theory & Research in Social Education ,"Chikkatur, Anita","Chikkatur, A. ""Teaching and learning African American history in a multiracial classroom."" Theory & Research in Social Education 41 (4) (2013): 514-534.",,"Chikkatur, A. ""Teaching and learning African American history in a multiracial classroom."" Theory & Research in Social Education 41 (4) (2013): 514-534.",Theory & Research in Social Education,,,,Taylor & Francis (Routledge),green,,
8,The Encyclopedia of Political Thought ,"Czobor-Lupp, Mihaela","Czobor-Lupp, Mihaela.  ""Rationalism."" The Encyclopedia of Political Thought (2014): 3116-3129.",,"Czobor-Lupp, Mihaela.  ""Rationalism."" The Encyclopedia of Political Thought (2014): 3116-3129.",,,,,,,X,
9,Erkenntnis,"Decker, Jason","Decker, Jason. ""Conciliation and Self-Incrimination."" Erkenntnis 79 (5) (2014): 1099-1134.",,"Decker, Jason. ""Conciliation and Self-Incrimination."" Erkenntnis 79 (5) (2014): 1099-1134.",,,,,Springer Verlag,green,,
10,Analytic Philosophy,"Decker, Jason","Groll, Daniel and Jason Decker. ""Moral Testimony: One of These Things is Just Like the Others."" Analytic Philosophy 54 (4): 54-74.",,"Groll, Daniel and Jason Decker. ""Moral Testimony: One of These Things is Just Like the Others."" Analytic Philosophy 54 (4): 54-74.",,,,,Wiley,yellow,,
11,Against the Grain,"Demas, Sam","Demas, Sam. ""Curating Collective Collections - Policies for Shared Print Programs: Emerging Shared Print Policy Choices as Reflected in MOU's.""ù Against the Grain 26 (2) (April 2014): 87-88.",,"Demas, Sam. ""Curating Collective Collections - Policies for Shared Print Programs: Emerging Shared Print Policy Choices as Reflected in MOU's.""ù Against the Grain 26 (2) (April 2014): 87-88.",,,,,Against the Grain,gray,,
12,Against the Grain,"Demas, Sam","Demas, Samuel. ""Curating Collective Collections - Policies for Shared Print Programs: Questions to Address in Writing a MOU.""ù Against the Grain 26 (1) (February 2014): 72-73.",,"Demas, Samuel. ""Curating Collective Collections - Policies for Shared Print Programs: Questions to Address in Writing a MOU.""ù Against the Grain 26 (1) (February 2014): 72-73.",,,,,Against the Grain,gray,,
13,Against the Grain,"Demas, Sam","Demas, Samuel. ""Curating Collective Collections - Policies for Shared Print Programs: Thoughts on Future Coordination.""ù Against the Grain 26 (2) (June 2014): 80-82.",,"Demas, Samuel. ""Curating Collective Collections - Policies for Shared Print Programs: Thoughts on Future Coordination.""ù Against the Grain 26 (2) (June 2014): 80-82.",,,,,Against the Grain,gray,,
